,st_code,st_name,交易所產業分類,TEJ產業分類,歆凱分組,date,近一日漲跌％,近一週漲跌％,近一月漲跌％
1424,6218,豪勉,M2327 通信網路業,M23X1 系統整合,ML無分,2023/03/29,-1.33,-0.8,-1.33
1425,6221,晉泰,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,-0.5,1.17,-2.43
1426,6231,系微,M2330 資訊服務業,M23X9 應用軟體,ML無分,2023/03/29,-1.15,-12.2,23.33
1427,6590,普鴻,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,-3.0,-15.12,0.89
1428,6690,安碁資訊,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,0.0,-6.38,8.98
1429,6697,東捷資訊,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,-3.55,-7.06,-10.53
1430,6751,智聯服務,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,1.61,-2.88,41.89
1431,6752,叡揚,M2330 資訊服務業,M23X9 應用軟體,ML無分,2023/03/29,2.31,-13.92,1.53
1432,6791,虎門科技,M2330 資訊服務業,M23X9 應用軟體,ML無分,2023/03/29,-4.95,-6.6,1.51
1433,6865,偉康,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,-2.1,-7.83,-9.54
1434,6874,倍力,M2330 資訊服務業,M23X9 應用軟體,ML無分,2023/03/29,0.74,-8.67,23.42
1435,8099,大世科,M2330 資訊服務業,M23X1 系統整合,ML無分,2023/03/29,-0.75,-1.74,1.41
1436,8416,實威,M2330 資訊服務業,M23X9 應用軟體,ML無分,2023/03/29,-0.8,-2.35,1.63
1437,3083,網龍,M3200 文化創意業,M23X2 遊戲軟體,35.0,2023/03/29,-0.11,-0.45,-4.88
1438,3086,華義,M3200 文化創意業,M23X2 遊戲軟體,ML無分,2023/03/29,-2.08,0.94,-4.81
1439,3293,鈊象,M3200 文化創意業,M23X2 遊戲軟體,ML無分,2023/03/29,1.97,1.6,9.83
1440,3546,宇峻,M3200 文化創意業,M23X2 遊戲軟體,35.0,2023/03/29,0.76,5.33,6.03
1441,3629,地心引力,M3200 文化創意業,M23X2 遊戲軟體,ML無分,2023/03/29,-0.34,35.36,49.16
1442,4946,辣椒,M3200 文化創意業,M23X2 遊戲軟體,ML無分,2023/03/29,0.36,-4.52,-8.86
1443,5478,智冠,M3200 文化創意業,M23X2 遊戲軟體,35.0,2023/03/29,0.66,0.11,13.6
1444,6111,大宇資,M3200 文化創意業,M23X2 遊戲軟體,ML無分,2023/03/29,-0.99,2.74,4.17
1445,6144,得利影,M3200 文化創意業,M23X9 應用軟體,ML無分,2023/03/29,-1.03,2.13,2.49
1446,6169,昱泉,M3200 文化創意業,M23X2 遊戲軟體,ML無分,2023/03/29,1.06,2.14,2.96
1447,6180,橘子,M3200 文化創意業,M23X2 遊戲軟體,35.0,2023/03/29,2.08,0.27,-10.34
1448,6482,弘煜科,M3200 文化創意業,M23X2 遊戲軟體,ML無分,2023/03/29,0.67,0.67,-1.52
1449,6542,隆中,M3200 文化創意業,M23X2 遊戲軟體,ML無分,2023/03/28,-0.43,-0.43,5.29
1450,3687,歐買尬,M3400 電子商務,M23X2 遊戲軟體,ML無分,2023/03/29,-0.7,-2.31,-1.85
1451,6763,綠界科技,M3400 電子商務,M23X9 應用軟體,ML無分,2023/03/29,-2.23,-4.46,-3.76
1452,5209,新鼎,M9900 其他,M23X1 系統整合,ML無分,2023/03/29,-0.93,-6.58,18.99
1453,3289,宜特,M2331 其他電子業,M23Z 其他電子,ML無分,2023/03/29,-1.44,-5.72,2.89
1454,3587,閎康,M2331 其他電子業,M23Z 其他電子,ML無分,2023/03/29,-0.53,3.29,2.72
1455,6146,耕興,M2331 其他電子業,M23Z 其他電子,ML無分,2023/03/29,-1.5,-1.87,0.77
1456,6593,台灣銘板,M2330 資訊服務業,M23Z 其他電子,ML無分,2023/03/29,0.16,-5.85,16.13
1457,6830,汎銓,M2331 其他電子業,M23Z 其他電子,ML無分,2023/03/29,0.38,0.75,-0.37
1458,6840,東研信超,M2331 其他電子業,M23Z 其他電子,ML無分,2023/03/29,-0.8,,
1459,8201,無敵,M2331 其他電子業,M23Z 其他電子,ML無分,2023/03/29,-1.94,-1.94,14.48
1460,8499,鼎炫-KY,M2331 其他電子業,M23Z 其他電子,ML無分,2023/03/29,0.0,-6.79,-2.83
1461,5263,智崴,M3200 文化創意業,M23Z 其他電子,ML無分,2023/03/29,-2.71,-5.99,-4.92
1462,5345,天揚,M9900 其他,M23Z 其他電子,ML無分,2023/03/29,1.4,1.94,-3.98
1463,2442,新美齊,M2325 電腦及週邊,M25A 建設,ML無分,2023/03/29,0.0,0.67,9.09
1464,1316,上曜,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.76,-3.28,10.88
1465,1436,華友聯,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.0,-0.35,4.23
1466,1438,三地開發,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-1.97,-2.12,-2.56
1467,1442,名軒,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-1.25,-4.8,0.48
1468,1453,大將,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-0.31,-3.02,0.0
1469,1456,怡華,M2500 建材營造,M25A 建設,ML無分,2023/03/29,1.66,1.66,1.99
1470,1805,寶徠,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.49,1.49,-3.3
1471,1808,潤隆,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-0.58,-1.3,-3.93
1472,2501,國建,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.0,-1.16,-0.87
1473,2505,國揚,M2500 建材營造,M25A 建設,14.0,2023/03/29,0.27,-0.27,-3.67
1474,2506,太設,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-0.32,-0.43,-4.36
1475,2509,全坤建,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-0.33,0.0,-4.78
1476,2511,太子,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-0.43,0.0,1.32
1477,2520,冠德,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.5,2.37,4.85
1478,2524,京城,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-1.09,-1.09,-2.89
1479,2527,宏璟,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-0.23,-0.23,0.92
1480,2528,皇普,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.51,1.53,9.37
1481,2530,華建,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-0.54,3.09,5.46
1482,2534,宏盛,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.42,0.42,3.22
1483,2536,宏普,M2500 建材營造,M25A 建設,ML無分,2023/03/29,1.23,3.57,8.35
1484,2537,聯上發,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-0.15,-0.88,-5.3
1485,2538,基泰,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.0,-0.4,-5.26
1486,2539,櫻花建,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.14,1.1,6.08
1487,2540,愛山林,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-1.05,-0.13,-3.34
1488,2542,興富發,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.86,-0.24,-3.07
1489,2545,皇翔,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.11,1.01,-1.1
1490,2547,日勝生,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.22,-0.44,-3.48
1491,2548,華固,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.11,1.3,1.97
