st_code,st_name,交易所產業分類,TEJ產業分類
4561,健椿,M1500 電機機械,M15A2 模具零件
4562,穎漢,M1500 電機機械,M15A1 工具機
4563,百德,M1500 電機機械,M15A1 工具機
4576,大銀微系統,M1500 電機機械,M15A2 模具零件
6603,富強鑫,M1500 電機機械,M15A1 工具機
6606,建德工業,M1500 電機機械,M15A1 工具機
6609,瀧澤科,M1500 電機機械,M15A1 工具機
8083,瑞穎,M1500 電機機械,M15A2 模具零件
8374,羅昇,M1500 電機機械,M15A2 模具零件
4577,達航,M2331 其他電子業,M15A1 工具機
6584,南俊國際,M2328 電子零組件,M15A2 模具零件
6855,數泓科,M2331 其他電子業,M15A1 工具機
8455,大拓-KY,M2331 其他電子業,M15A1 工具機
1503,士電,M1500 電機機械,M15B1 電機
1504,東元,M1500 電機機械,M15B1 電機
1513,中興電,M1500 電機機械,M15B1 電機
1514,亞力,M1500 電機機械,M15B1 電機
1519,華城,M1500 電機機械,M15B1 電機
1529,樂事綠能,M1500 電機機械,M15B1 電機
1535,中宇,M1500 電機機械,M15B2 機電工程
2371,大同,M1500 電機機械,M15B1 電機
4506,崇友,M1500 電機機械,M15B1 電機
4550,長佳,M1500 電機機械,M15B2 機電工程
4583,台灣精銳,M1500 電機機械,M15B1 電機
8418,捷必勝-KY,M9900 其他,M15B1 電機
4527,方土霖,M1500 電機機械,M15C2 空調冷凍
4532,瑞智,M1500 電機機械,M15C1 家電
4552,力達-KY,M1500 電機機械,M15C1 家電
1604,聲寶,M1600 電器電纜,M15C1 家電
1611,中電,M1600 電器電纜,M15C4 照明
1614,三洋電,M1600 電器電纜,M15C1 家電
1626,艾美特-KY,M1600 電器電纜,M15C1 家電
4609,唐鋒,M1600 電器電纜,M15C1 家電
4930,燦星網,M1600 電器電纜,M15C1 家電
5283,禾聯碩,M1600 電器電纜,M15C1 家電
2491,吉祥全,M2326 光電業,M15C4 照明
3024,憶聲,M2326 光電業,M15C1 家電
3516,亞帝歐,M2326 光電業,M15C4 照明
3609,三一東林,M2328 電子零組件,M15C4 照明
6728,上洋,M2900 貿易百貨,M15C1 家電
1506,正道,M1500 電機機械,M15D 汽車組件
2066,世德,M1500 電機機械,M15D 汽車組件
2230,泰茂,M1500 電機機械,M15D 汽車組件
2235,謚源,M1500 電機機械,M15D 汽車組件
2254,巨鎧,M1500 電機機械,M15D 汽車組件
3226,至寶電,M1500 電機機械,M15D 汽車組件
3685,元創精密,M1500 電機機械,M15D 汽車組件
4502,健信,M1500 電機機械,M15D 汽車組件
4523,永彰,M1500 電機機械,M15D 汽車組件
4528,江興鍛,M1500 電機機械,M15D 汽車組件
4535,至興,M1500 電機機械,M15D 汽車組件
4543,萬在,M1500 電機機械,M15D 汽車組件
4566,時碩工業,M1500 電機機械,M15D 汽車組件
4571,鈞興-KY,M1500 電機機械,M15D 汽車組件
5288,豐祥-KY,M1500 電機機械,M15D 汽車組件
8107,大億金茂,M1500 電機機械,M15D 汽車組件
8255,朋程,M1500 電機機械,M15D 汽車組件
9951,皇田,M1500 電機機械,M15D 汽車組件
1319,東陽,M2200 汽車工業,M15D 汽車組件
1338,廣華-KY,M2200 汽車工業,M15D 汽車組件
1339,昭輝,M2200 汽車工業,M15D 汽車組件
1512,瑞利,M2200 汽車工業,M15D 汽車組件
1521,大億,M2200 汽車工業,M15D 汽車組件
1522,堤維西,M2200 汽車工業,M15D 汽車組件
1524,耿鼎,M2200 汽車工業,M15D 汽車組件
1525,江申,M2200 汽車工業,M15D 汽車組件
1533,車王電,M2200 汽車工業,M15D 汽車組件
1536,和大,M2200 汽車工業,M15D 汽車組件
1568,倉佑,M2200 汽車工業,M15D 汽車組件
1587,吉茂,M2200 汽車工業,M15D 汽車組件
2115,六暉-KY,M2200 汽車工業,M15D 汽車組件
2228,劍麟,M2200 汽車工業,M15D 汽車組件
2231,為升,M2200 汽車工業,M15D 汽車組件
2233,宇隆,M2200 汽車工業,M15D 汽車組件
2236,百達-KY,M2200 汽車工業,M15D 汽車組件
2239,英利-KY,M2200 汽車工業,M15D 汽車組件
2241,艾姆勒,M2200 汽車工業,M15D 汽車組件
2243,宏旭-KY,M2200 汽車工業,M15D 汽車組件
2250,IKKA-KY,M2200 汽車工業,M22A 汽車製造
2497,怡利電,M2200 汽車工業,M15D 汽車組件
4551,智伸科,M2200 汽車工業,M15D 汽車組件
4557,永新-KY,M2200 汽車工業,M15D 汽車組件
4581,光隆精密-KY,M2200 汽車工業,M15D 汽車組件
6605,帝寶,M2200 汽車工業,M15D 汽車組件
3552,同致,M2331 其他電子業,M15D 汽車組件
4554,橙的,M2331 其他電子業,M15D 汽車組件
6279,胡連,M2328 電子零組件,M15D 汽車組件
5276,達輝-KY,M9900 其他,M15D 汽車組件
9942,茂順,M9900 其他,M15D 汽車組件
1517,利奇,M1500 電機機械,M15E 自行車組件
1526,日馳,M1500 電機機械,M15E 自行車組件
3162,精確,M1500 電機機械,M15E 自行車組件
5306,桂盟,M9900 其他,M15E 自行車組件
2070,精湛,M1500 電機機械,M15H 儀器設備
4549,桓達,M1500 電機機械,M15H 儀器設備
4744,皇將,M1722 生技醫療,M15H 儀器設備
1515,力山,M1500 電機機械,M15Z 其他電製品
1580,新麥,M1500 電機機械,M15Z 其他電製品
3379,彬台,M1500 電機機械,M15Z 其他電製品
3426,台興,M1500 電機機械,M15Z 其他電製品
4503,金雨,M1500 電機機械,M15Z 其他電製品
4568,科際精密,M1500 電機機械,M15Z 其他電製品
4580,捷流閥業,M1500 電機機械,M15Z 其他電製品
4584,君帆,M1500 電機機械,M15Z 其他電製品
6843,進典,M1500 電機機械,M15Z 其他電製品
1593,祺驊,M1722 生技醫療,M15Z 其他電製品
1598,岱宇,M1722 生技醫療,M15Z 其他電製品
1736,喬山,M1722 生技醫療,M15Z 其他電製品
4556,旭然,M9900 其他,M15Z 其他電製品
6641,基士德-KY,M9900 其他,M15Z 其他電製品
1711,永光,M1721 化學工業,M17B 染料及顏料
1713,國化,M1721 化學工業,M17B 染料及顏料
1726,永記,M1721 化學工業,M17B 染料及顏料
4702,中美實,M1721 化學工業,M17B 染料及顏料
4706,大恭,M1721 化學工業,M17B 染料及顏料
4741,泓瀚,M1721 化學工業,M17B 染料及顏料
1796,金穎生技,M1200 食品工業,M17C2 機能性食品
6846,綠茵,M1200 食品工業,M17C2 機能性食品
4119,旭富,M1722 生技醫療,M17C1 西藥
1701,中化,M1722 生技醫療,M17C1 西藥
1707,葡萄王,M1722 生技醫療,M17C2 機能性食品
1712,興農,M1721 化學工業,M17C3 農藥肥料
1720,生達,M1722 生技醫療,M17C1 西藥
1722,台肥,M1721 化學工業,M17C3 農藥肥料
1731,美吾華,M1722 生技醫療,M17C1 西藥
1734,杏輝,M1722 生技醫療,M17C1 西藥
1752,南光,M1722 生技醫療,M17C1 西藥
1760,寶齡富錦,M1722 生技醫療,M17C1 西藥
1762,中化生,M1722 生技醫療,M17C1 西藥
1777,生泰,M1722 生技醫療,M17C1 西藥
1789,神隆,M1722 生技醫療,M17C1 西藥
1795,美時,M1722 生技醫療,M17C1 西藥
1799,易威,M1722 生技醫療,M17C1 西藥
3164,景岳,M1722 生技醫療,M17C2 機能性食品
3176,基亞,M1722 生技醫療,M17C1 西藥
3205,佰研,M1722 生技醫療,M17C2 機能性食品
4120,友華,M1722 生技醫療,M17C1 西藥
3705,永信,M1722 生技醫療,M17C1 西藥
4102,永日,M1722 生技醫療,M17C1 西藥
4105,東洋,M1722 生技醫療,M17C1 西藥
4108,懷特,M1722 生技醫療,M17C1 西藥
4109,加捷生醫,M1722 生技醫療,M17C2 機能性食品
4111,濟生,M1722 生技醫療,M17C1 西藥
4114,健喬,M1722 生技醫療,M17C1 西藥
4123,晟德,M1722 生技醫療,M17C1 西藥
4127,天良,M1722 生技醫療,M17C2 機能性食品
4128,中天,M1722 生技醫療,M17C1 西藥
4130,健亞,M1722 生技醫療,M17C1 西藥
4142,國光生,M1722 生技醫療,M17C1 西藥
4147,中裕,M1722 生技醫療,M17C1 西藥
4148,全宇生技-KY,M1722 生技醫療,M17C3 農藥肥料
4157,太景*-KY,M1722 生技醫療,M17C1 西藥
4162,智擎,M1722 生技醫療,M17C1 西藥
4167,松瑞藥,M1722 生技醫療,M17C1 西藥
4168,醣聯,M1722 生技醫療,M17C1 西藥
4173,久裕,M1722 生技醫療,M17C1 西藥
4174,浩鼎,M1722 生技醫療,M17C1 西藥
4192,杏國,M1722 生技醫療,M17C1 西藥
4726,永昕,M1722 生技醫療,M17C1 西藥
4743,合一,M1722 生技醫療,M17C1 西藥
4746,台耀,M1722 生技醫療,M17C1 西藥
4747,強生,M1722 生技醫療,M17C1 西藥
4911,德英,M1722 生技醫療,M17C1 西藥
6130,星寶國際,M1722 生技醫療,M17C1 西藥
6242,立康,M1722 生技醫療,M17C2 機能性食品
6446,藥華藥,M1722 生技醫療,M17C1 西藥
6461,益得,M1722 生技醫療,M17C1 西藥
6472,保瑞,M1722 生技醫療,M17C1 西藥
6492,生華科,M1722 生技醫療,M17C1 西藥
6496,科懋,M1722 生技醫療,M17C1 西藥
6535,順藥,M1722 生技醫療,M17C1 西藥
6541,泰福-KY,M1722 生技醫療,M17C1 西藥
6547,高端疫苗,M1722 生技醫療,M17C1 西藥
6550,北極星藥業-KY,M1722 生技醫療,M17C1 西藥
6576,逸達,M1722 生技醫療,M17C1 西藥
6589,台康生技,M1722 生技醫療,M17C1 西藥
6657,華安,M1722 生技醫療,M17C1 西藥
8279,生展,M1722 生技醫療,M17C2 機能性食品
8432,東生華,M1722 生技醫療,M17C1 西藥
8436,大江,M1722 生技醫療,M17C2 機能性食品
3555,重鵬,M2324 半導體,M17C2 機能性食品
6508,惠光,M3300 農業科技,M17C3 農藥肥料
5398,慕康生醫,M9900 其他,M17C1 西藥
6236,康呈,M9900 其他,M17C2 機能性食品
1709,和益,M1721 化學工業,M17E1 清潔劑原料
1714,和桐,M1721 化學工業,M17E1 清潔劑原料
1730,花仙子,M1721 化學工業,M17E2 清潔用品
1732,毛寶,M1721 化學工業,M17E2 清潔用品
4707,磐亞,M1721 化學工業,M17E1 清潔劑原料
6506,雙邦,M1400 紡織纖維,M17F 樹脂
1717,長興,M1721 化學工業,M17F 樹脂
1721,三晃,M1721 化學工業,M17F 樹脂
1735,日勝化,M1721 化學工業,M17F 樹脂
1776,展宇,M1721 化學工業,M17F 樹脂
3708,上緯投控,M1721 化學工業,M17F 樹脂
4711,永純,M1721 化學工業,M17F 樹脂
4714,永捷,M1721 化學工業,M17F 樹脂
4716,大立,M1721 化學工業,M17F 樹脂
4720,德淵,M1721 化學工業,M17F 樹脂
4722,國精化,M1721 化學工業,M17F 樹脂
4766,南寶,M1721 化學工業,M17F 樹脂
4767,誠泰科技,M1721 化學工業,M17F 樹脂
4770,上品,M1721 化學工業,M17F 樹脂
6585,鼎基,M9900 其他,M17F 樹脂
1565,精華,M1722 生技醫療,M17G 醫療耗材
1733,五鼎,M1722 生技醫療,M17G 醫療耗材
1781,合世,M1722 生技醫療,M17G 醫療耗材
1783,和康生,M1722 生技醫療,M17G 醫療耗材
1786,科妍,M1722 生技醫療,M17G 醫療耗材
1788,杏昌,M1722 生技醫療,M17G 醫療耗材
1813,寶利徠,M1722 生技醫療,M17G 醫療耗材
3118,進階,M1722 生技醫療,M17G 醫療耗材
3218,大學光,M1722 生技醫療,M17G 醫療耗材
4104,佳醫,M1722 生技醫療,M17G 醫療耗材
4106,雃博,M1722 生技醫療,M17G 醫療耗材
4107,邦特,M1722 生技醫療,M17G 醫療耗材
4116,明基醫,M1722 生技醫療,M17G 醫療耗材
4126,太醫,M1722 生技醫療,M17G 醫療耗材
4129,聯合,M1722 生技醫療,M17G 醫療耗材
4131,晶宇,M1722 生技醫療,M17G 醫療耗材
4133,亞諾法,M1722 生技醫療,M17G 醫療耗材
4138,曜亞,M1722 生技醫療,M17G 醫療耗材
4155,訊映,M1722 生技醫療,M17G 醫療耗材
4160,創源,M1722 生技醫療,M17G 醫療耗材
4161,聿新科,M1722 生技醫療,M17G 醫療耗材
4163,鐿鈦,M1722 生技醫療,M17G 醫療耗材
4164,承業醫,M1722 生技醫療,M17G 醫療耗材
4183,福永生技,M1722 生技醫療,M17G 醫療耗材
4188,安克,M1722 生技醫療,M17G 醫療耗材
4198,欣大健康,M1722 生技醫療,M17G 醫療耗材
4728,雙美,M1722 生技醫療,M17G 醫療耗材
4735,豪展,M1722 生技醫療,M17G 醫療耗材
4736,泰博,M1722 生技醫療,M17G 醫療耗材
4737,華廣,M1722 生技醫療,M17G 醫療耗材
4745,合富-KY,M1722 生技醫療,M17G 醫療耗材
5312,寶島科,M1722 生技醫療,M17G 醫療耗材
6491,晶碩,M1722 生技醫療,M17G 醫療耗材
6499,益安,M1722 生技醫療,M17G 醫療耗材
6527,明達醫,M1722 生技醫療,M17G 醫療耗材
6598,ABC-KY,M1722 生技醫療,M17G 醫療耗材
6612,奈米醫材,M1722 生技醫療,M17G 醫療耗材
6615,慧智,M1722 生技醫療,M17G 醫療耗材
6649,台生材,M1722 生技醫療,M17G 醫療耗材
6661,威健生技,M1722 生技醫療,M17G 醫療耗材
6733,博晟生醫,M1722 生技醫療,M17G 醫療耗材
6747,亨泰光,M1722 生技醫療,M17G 醫療耗材
6762,達亞,M1722 生技醫療,M17G 醫療耗材
6767,台微醫,M1722 生技醫療,M17G 醫療耗材
6782,視陽,M1722 生技醫療,M17G 醫療耗材
6796,晉弘,M1722 生技醫療,M17G 醫療耗材
6797,圓點奈米,M1722 生技醫療,M17G 醫療耗材
6841,長佳智能,M1722 生技醫療,M17G 醫療耗材
6861,睿生光電,M1722 生技醫療,M17G 醫療耗材
8409,商之器,M1722 生技醫療,M23X9 應用軟體
3373,熱映,M2331 其他電子業,M17G 醫療耗材
4171,瑞基,M3300 農業科技,M17G 醫療耗材
1784,訊聯,M1722 生技醫療,M17H 生物科技
4139,馬光-KY,M1722 生技醫療,M17H 生物科技
6662,樂斯科,M1722 生技醫療,M17H 生物科技
6712,長聖,M1722 生技醫療,M17H 生物科技
4121,優盛,M1722 生技醫療,M17X 藥局
4175,杏一,M1722 生技醫療,M17X 藥局
6469,大樹,M1722 生技醫療,M17X 藥局
8403,盛弘,M1722 生技醫療,M17X 藥局
1708,東鹼,M1721 化學工業,M17Z 其他化學
1723,中碳,M1721 化學工業,M17Z 其他化學
1725,元禎,M1721 化學工業,M17Z 其他化學
1727,中華化,M1721 化學工業,M17Z 其他化學
1742,台蠟,M1721 化學工業,M17Z 其他化學
1773,勝一,M1721 化學工業,M17Z 其他化學
3430,奇鈦科,M1721 化學工業,M17Z 其他化學
4137,麗豐-KY,M1722 生技醫療,M17Z 其他化學
4190,佐登-KY,M1722 生技醫療,M17Z 其他化學
4721,美琪瑪,M1721 化學工業,M17Z 其他化學
4739,康普,M1721 化學工業,M17Z 其他化學
4754,國碳科,M1721 化學工業,M17Z 其他化學
4755,三福化,M1721 化學工業,M17Z 其他化學
4763,材料-KY,M1721 化學工業,M17Z 其他化學
4764,雙鍵,M1721 化學工業,M17Z 其他化學
4768,晶呈科技,M1721 化學工業,M17Z 其他化學
6431,光麗-KY,M1722 生技醫療,M17Z 其他化學
6509,聚和,M1721 化學工業,M17Z 其他化學
6523,達爾膚,M1722 生技醫療,M17Z 其他化學
6574,霈方,M1722 生技醫療,M17Z 其他化學
6666,羅麗芬-KY,M1722 生技醫療,M17Z 其他化學
6703,軒郁,M1722 生技醫療,M17Z 其他化學
4749,新應材,M2326 光電業,M17Z 其他化學
5450,南良,M9900 其他,M17Z 其他化學
1903,士紙,M1900 造紙工業,M19A 造紙
1904,正隆,M1900 造紙工業,M19A 造紙
1906,寶隆,M1900 造紙工業,M19A 造紙
1907,永豐餘,M1900 造紙工業,M19A 造紙
1909,榮成,M1900 造紙工業,M19A 造紙
6790,永豐實,M1900 造紙工業,M19A 造紙
1905,華紙,M1900 造紙工業,M19B 紙漿
4558,寶緯,M1500 電機機械,M20A5 鋁鋅
8996,高力,M1500 電機機械,M20A9 金屬加工
2061,風青,M1600 電器電纜,M20A4 銅
2002,中鋼,M2000 鋼鐵工業,M20A3 鋼板
2006,東和鋼鐵,M2000 鋼鐵工業,M20A2 鋼筋
2007,燁興,M2000 鋼鐵工業,M20A1 線材
2008,高興昌,M2000 鋼鐵工業,M20A7 鋼管
2009,第一銅,M2000 鋼鐵工業,M20A4 銅
2010,春源,M2000 鋼鐵工業,M20A3 鋼板
2012,春雨,M2000 鋼鐵工業,M20A1 線材
2013,中鋼構,M2000 鋼鐵工業,M20A2 鋼筋
2014,中鴻,M2000 鋼鐵工業,M20A3 鋼板
2015,豐興,M2000 鋼鐵工業,M20A2 鋼筋
2017,官田鋼,M2000 鋼鐵工業,M20A1 線材
2020,美亞,M2000 鋼鐵工業,M20A7 鋼管
2022,聚亨,M2000 鋼鐵工業,M20A1 線材
2023,燁輝,M2000 鋼鐵工業,M20A3 鋼板
2024,志聯,M2000 鋼鐵工業,M20A1 線材
2025,千興,M2000 鋼鐵工業,M20A6 不鏽鋼
2027,大成鋼,M2000 鋼鐵工業,M20A6 不鏽鋼
2028,威致,M2000 鋼鐵工業,M20A2 鋼筋
2029,盛餘,M2000 鋼鐵工業,M20A3 鋼板
2030,彰源,M2000 鋼鐵工業,M20A7 鋼管
2031,新光鋼,M2000 鋼鐵工業,M20A3 鋼板
2032,新鋼,M2000 鋼鐵工業,M20A6 不鏽鋼
2033,佳大,M2000 鋼鐵工業,M20A1 線材
2034,允強,M2000 鋼鐵工業,M20A7 鋼管
2035,唐榮,M2000 鋼鐵工業,M20A6 不鏽鋼
2038,海光,M2000 鋼鐵工業,M20A2 鋼筋
