代號,名稱,預估月,yoy,mom,預估營收（百萬）,TEJ產業
5388,中磊,* 2023/03,-0.015,-0.125,4720.0,M2327 通信網路業
6192,巨路,* 2023/03,-0.015,0.144,559.0,M2331 其他電子業
2374,佳能,* 2023/03,-0.016,0.668,410.0,M2326 光電業
2027,大成鋼,* 2023/02,-0.016,-0.016,8784.0,M2000 鋼鐵工業
1528,恩德,* 2023/03,-0.017,0.466,356.0,M1500 電機機械
2038,海光,* 2023/03,-0.017,0.232,1008.0,M2000 鋼鐵工業
1444,力麗,* 2023/03,-0.017,0.479,1022.0,M1400 紡織纖維
4566,時碩工業,* 2023/02,-0.017,-0.017,356.0,M1500 電機機械
3356,奇偶,* 2023/02,-0.017,-0.017,89.0,M2326 光電業
2020,美亞,* 2023/03,-0.018,-0.072,613.0,M2000 鋼鐵工業
2461,光群雷,* 2023/03,-0.018,0.406,580.0,M2331 其他電子業
6416,瑞祺電通,* 2023/03,-0.019,0.229,433.0,M2327 通信網路業
9105,泰金寶-DR,* 2023/02,-0.019,-0.038,11015.42,W91   存託憑證
9908,大台北,* 2023/02,-0.019,-0.019,291.0,M9700 油電燃氣業
6698,旭暉應材,* 2023/02,-0.02,-0.02,92.0,M2331 其他電子業
6195,詩肯,* 2023/02,-0.02,-0.02,147.0,M2900 貿易百貨
4192,杏國,* 2023/02,-0.02,-0.02,1.0,M1722 生技醫療
1240,茂生農經,* 2023/03,-0.02,0.125,269.0,M3300 農業科技
2115,六暉-KY,* 2023/03,-0.02,0.228,280.0,M2200 汽車工業
6134,萬旭,* 2023/03,-0.02,0.332,126.0,M2328 電子零組件
1524,耿鼎,* 2023/03,-0.02,0.088,219.0,M2200 汽車工業
3015,全漢,* 2023/03,-0.021,0.136,1245.0,M2328 電子零組件
6664,群翊,* 2023/03,-0.021,0.094,196.0,M2328 電子零組件
3380,明泰,* 2023/03,-0.022,0.178,2815.0,M2327 通信網路業
6184,大豐電,* 2023/02,-0.022,-0.022,166.0,M9900 其他
3217,優群,* 2023/02,-0.022,-0.022,174.0,M2328 電子零組件
8489,三貝德,* 2023/03,-0.023,-0.043,103.0,M9900 其他
2913,農林,* 2023/03,-0.023,-0.079,28.0,M2900 貿易百貨
2889,國票金,* 2023/03,-0.024,-0.233,475.0,M2800 金融業
2613,中櫃,* 2023/02,-0.024,-0.024,214.0,M2600 航運業
8107,大億金茂,* 2023/03,-0.024,0.065,71.0,M1500 電機機械
6629,泰金-KY,* 2023/03,-0.024,0.534,112.0,M9900 其他
3296,勝德,* 2023/03,-0.024,0.641,165.0,M2328 電子零組件
1776,展宇,* 2023/02,-0.025,-0.025,99.0,M1721 化學工業
6123,上奇,* 2023/02,-0.025,-0.025,386.0,M2325 電腦及週邊
4164,承業醫,* 2023/03,-0.025,0.109,220.0,M1722 生技醫療
6146,耕興,* 2023/03,-0.025,-0.025,400.0,M2331 其他電子業
3264,欣銓,* 2023/03,-0.025,0.022,1079.0,M2324 半導體
8084,巨虹,* 2023/03,-0.026,0.018,87.0,M2329 電子通路業
6024,群益期,* 2023/03,-0.026,0.545,254.0,M2800 金融業
2642,宅配通,* 2023/03,-0.026,0.057,325.0,M2600 航運業
2616,山隆,* 2023/02,-0.027,-0.027,1299.0,M9700 油電燃氣業
1560,中砂,* 2023/03,-0.028,0.098,567.0,M1500 電機機械
6156,松上,* 2023/03,-0.028,0.17,319.0,M2328 電子零組件
6290,良維,* 2023/03,-0.028,0.432,660.0,M2328 電子零組件
2368,金像電,* 2023/03,-0.029,0.354,2554.0,M2328 電子零組件
2885,元大金,* 2023/02,-0.029,-0.029,7154.0,M2800 金融業
6751,智聯服務,* 2023/03,-0.029,-0.044,127.0,M2330 資訊服務業
2332,友訊,* 2023/03,-0.029,0.135,1498.0,M2327 通信網路業
2345,智邦,* 2023/03,-0.029,0.072,6552.0,M2327 通信網路業
9914,美利達,* 2023/03,-0.029,0.2,3239.0,M9900 其他
1231,聯華食,* 2023/02,-0.03,-0.03,718.0,M1200 食品工業
1513,中興電,* 2023/03,-0.03,-0.032,1918.0,M1500 電機機械
8404,百和興業-KY,* 2023/02,-0.03,-0.03,441.0,M9900 其他
3587,閎康,* 2023/03,-0.03,-0.135,320.0,M2331 其他電子業
5871,中租-KY,* 2023/03,-0.031,-0.026,7092.0,M9900 其他
3646,艾恩特,* 2023/03,-0.031,0.072,63.0,M2328 電子零組件
2412,中華電,* 2023/03,-0.031,-0.064,16788.0,M2327 通信網路業
6235,華孚,* 2023/03,-0.032,-0.245,331.0,M2325 電腦及週邊
3252,海灣,* 2023/02,-0.033,-0.033,46.0,M2700 觀光事業
1519,華城,* 2023/03,-0.034,0.795,551.0,M1500 電機機械
6506,雙邦,* 2023/03,-0.034,0.474,243.0,M1400 紡織纖維
6690,安碁資訊,* 2023/03,-0.034,0.166,138.0,M2330 資訊服務業
2906,高林,* 2023/03,-0.034,0.217,696.0,M2900 貿易百貨
3709,鑫聯大投控,* 2023/03,-0.035,0.092,1779.0,M2325 電腦及週邊
1702,南僑,* 2023/03,-0.035,-0.008,1631.0,M1200 食品工業
3218,大學光,* 2023/03,-0.035,-0.188,266.0,M1722 生技醫療
1419,新紡,* 2023/03,-0.035,0.105,284.0,M1400 紡織纖維
2303,聯電,* 2023/03,-0.035,0.262,21366.0,M2324 半導體
1215,卜蜂,* 2023/03,-0.035,0.056,2390.0,M1200 食品工業
9929,秋雨,* 2023/03,-0.036,-0.21,47.0,M9900 其他
6139,亞翔,* 2023/03,-0.036,-0.147,2548.0,M2331 其他電子業
3687,歐買尬,* 2023/02,-0.036,-0.036,112.0,M3400 電子商務
2478,大毅,* 2023/02,-0.036,-0.036,356.0,M2328 電子零組件
6561,是方,* 2023/03,-0.037,-0.019,253.0,M2327 通信網路業
5543,桓鼎-KY,* 2023/02,-0.038,-0.037,197.0,M2500 建材營造
2314,台揚,* 2023/03,-0.038,-0.138,374.0,M2327 通信網路業
1338,廣華-KY,* 2023/02,-0.038,-0.038,465.0,M2200 汽車工業
1236,宏亞,* 2023/02,-0.038,-0.038,106.0,M1200 食品工業
8916,光隆,* 2023/03,-0.038,0.68,845.0,M9900 其他
5345,天揚,* 2023/03,-0.038,2.226,1.0,M9900 其他
4406,新昕纖,* 2023/03,-0.039,0.298,50.0,M1400 紡織纖維
2492,華新科,* 2023/02,-0.04,-0.039,2480.0,M2328 電子零組件
9802,鈺齊-KY,* 2023/03,-0.04,-0.116,1619.0,M9900 其他
1802,台玻,* 2023/02,-0.04,-0.04,2951.0,M1800 玻璃陶瓷
5225,東科-KY,* 2023/03,-0.04,0.536,931.0,M2331 其他電子業
6023,元大期,* 2023/02,-0.041,-0.041,261.0,M2800 金融業
8032,光菱,* 2023/03,-0.042,0.377,361.0,M2329 電子通路業
2433,互盛電,* 2023/03,-0.042,0.146,261.0,M2331 其他電子業
2812,台中銀,* 2023/03,-0.043,-0.087,1211.0,M2800 金融業
1784,訊聯,* 2023/03,-0.043,0.118,85.0,M1722 生技醫療
2850,新產,* 2023/03,-0.044,-0.071,1479.0,M2800 金融業
2063,世鎧,* 2023/03,-0.044,0.207,115.0,M2000 鋼鐵工業
4766,南寶,* 2023/03,-0.044,0.233,1889.0,M1721 化學工業
5516,雙喜,* 2023/03,-0.045,0.123,178.0,M2500 建材營造
8908,欣雄,* 2023/03,-0.045,0.152,638.0,M9700 油電燃氣業
8215,明基材,* 2023/03,-0.046,0.0,1336.0,M2326 光電業
6667,信紘科,* 2023/03,-0.046,0.192,186.0,M2331 其他電子業
3071,協禧,* 2023/03,-0.046,0.052,211.0,M2325 電腦及週邊
3036,文曄,* 2023/02,-0.047,-0.047,30622.0,M2329 電子通路業
4153,鈺緯,* 2023/03,-0.047,-0.257,69.0,M1722 生技醫療
4995,晶達,* 2023/02,-0.047,-0.047,82.0,M2326 光電業
3303,岱稜,* 2023/03,-0.048,0.346,257.0,M2331 其他電子業
1604,聲寶,* 2023/02,-0.048,-0.047,605.0,M1600 電器電纜
1101,台泥,* 2023/03,-0.048,0.3,9497.0,M1100 水泥工業
2724,富驛-KY,* 2023/03,-0.048,0.869,4.0,M2700 觀光事業
6683,雍智科技,* 2023/03,-0.048,0.086,131.0,M2324 半導體
6183,關貿,* 2023/03,-0.048,-0.043,173.0,M2330 資訊服務業
1304,台聚,* 2023/03,-0.048,0.211,5456.0,M1300 塑膠工業
8462,柏文,* 2023/02,-0.05,-0.05,297.0,M2700 觀光事業
8044,網家,* 2023/03,-0.05,0.074,3552.0,M3400 電子商務
2009,第一銅,* 2023/03,-0.05,0.334,266.0,M2000 鋼鐵工業
2453,凌群,* 2023/02,-0.05,-0.05,361.0,M2330 資訊服務業
9907,統一實,* 2023/03,-0.051,0.077,3318.0,M9900 其他
3545,敦泰,* 2023/02,-0.051,-0.051,999.0,M2324 半導體
1218,泰山,* 2023/03,-0.051,0.054,880.0,M1200 食品工業
5434,崇越,* 2023/02,-0.052,-0.052,3617.0,M2329 電子通路業
2395,研華,* 2023/03,-0.053,0.106,5782.0,M2325 電腦及週邊
2328,廣宇,* 2023/03,-0.053,-0.043,1978.0,M2328 電子零組件
2704,國賓,* 2023/03,-0.054,0.311,121.0,M2700 觀光事業
3682,亞太電,* 2023/03,-0.054,0.055,1033.0,M2327 通信網路業
8349,恒耀,* 2023/02,-0.054,-0.054,823.0,M2000 鋼鐵工業
6781,AES-KY,* 2023/03,-0.054,0.213,1241.0,M2328 電子零組件
3206,志豐,* 2023/02,-0.055,-0.055,173.0,M2328 電子零組件
8390,金益鼎,* 2023/02,-0.055,-0.055,234.0,M9900 其他
6140,訊達,* 2023/03,-0.055,-0.146,132.0,M2330 資訊服務業
9919,康那香,* 2023/03,-0.055,0.163,287.0,M9900 其他
1233,天仁,* 2023/02,-0.056,-0.055,145.0,M1200 食品工業
3211,順達,* 2023/03,-0.056,0.468,1603.0,M2325 電腦及週邊
4987,科誠,* 2023/02,-0.056,-0.056,92.0,M2325 電腦及週邊
1213,大飲,* 2023/02,-0.057,-0.057,29.0,M1200 食品工業
5903,全家,* 2023/02,-0.057,-0.057,6542.0,M2900 貿易百貨
8147,正淩,* 2023/03,-0.057,0.226,99.0,M2328 電子零組件
2610,華航,* 2023/03,-0.058,-0.086,11586.0,M2600 航運業
4303,信立,* 2023/03,-0.058,0.543,35.0,M1300 塑膠工業
4953,緯軟,* 2023/03,-0.058,-0.1,616.0,M2330 資訊服務業
2605,新興,* 2023/03,-0.059,-0.07,292.0,M2600 航運業
2904,匯僑,* 2023/03,-0.059,-0.042,41.0,M9900 其他
6505,台塑化,* 2023/03,-0.059,0.025,64724.0,M9700 油電燃氣業
6542,隆中,* 2023/03,-0.059,0.014,64.0,M3200 文化創意業
6577,勁豐,* 2023/03,-0.059,0.192,152.0,M2325 電腦及週邊
3705,永信,* 2023/02,-0.059,-0.059,445.0,M1722 生技醫療
5269,祥碩,* 2023/03,-0.06,0.178,454.0,M2324 半導體
6414,樺漢,* 2023/03,-0.06,-0.056,8989.0,M2325 電腦及週邊
6593,台灣銘板,* 2023/03,-0.06,0.164,48.0,M2330 資訊服務業
9911,櫻花,* 2023/03,-0.061,0.189,669.0,M9900 其他
6532,瑞耘,* 2023/03,-0.061,0.235,50.0,M2324 半導體
1810,和成,* 2023/03,-0.061,0.07,434.0,M1800 玻璃陶瓷
2033,佳大,* 2023/02,-0.061,-0.061,50.0,M2000 鋼鐵工業
2524,京城,* 2023/03,-0.062,3.538,254.0,M2500 建材營造
2915,潤泰全,* 2023/03,-0.062,-0.011,195.0,M2900 貿易百貨
4580,捷流閥業,* 2023/03,-0.062,-0.079,209.0,M1500 電機機械
2360,致茂,* 2023/03,-0.062,0.26,1757.0,M2331 其他電子業
2377,微星,* 2023/02,-0.062,-0.062,13230.0,M2325 電腦及週邊
1418,東華,* 2023/03,-0.062,-0.11,3.0,M1400 紡織纖維
1312,國喬,* 2023/02,-0.063,-0.063,1238.0,M1300 塑膠工業
3311,閎暉,* 2023/03,-0.063,0.055,161.0,M2327 通信網路業
1201,味全,* 2023/03,-0.064,-0.001,1489.0,M1200 食品工業
8080,永利聯合,* 2023/03,-0.064,4.567,28.0,M2328 電子零組件
1336,台翰,* 2023/03,-0.064,-0.073,183.0,M2328 電子零組件
3390,旭軟,* 2023/02,-0.064,-0.064,56.0,M2328 電子零組件
6155,鈞寶,* 2023/02,-0.064,-0.064,45.0,M2328 電子零組件
2547,日勝生,* 2023/02,-0.064,-0.064,363.0,M2500 建材營造
6558,興能高,* 2023/03,-0.064,0.044,95.0,M2331 其他電子業
8482,商億-KY,* 2023/03,-0.065,0.773,387.0,M9900 其他
1614,三洋電,* 2023/03,-0.065,-0.036,431.0,M1600 電器電纜
6166,凌華,* 2023/02,-0.067,-0.067,731.0,M2325 電腦及週邊
6669,緯穎,* 2023/03,-0.067,-0.015,22653.0,M2325 電腦及週邊
6167,久正,* 2023/02,-0.067,-0.067,140.0,M2326 光電業
2488,漢平,* 2023/03,-0.067,1.052,154.0,M2331 其他電子業
3035,智原,* 2023/03,-0.068,-0.044,1030.0,M2324 半導體
6282,康舒,* 2023/03,-0.068,0.386,2177.0,M2328 電子零組件
2630,亞航,* 2023/03,-0.068,0.032,342.0,M2600 航運業
2327,國巨,* 2023/02,-0.069,-0.069,7999.0,M2328 電子零組件
