歆凱分組,代號,名稱,new_industry,minor_industry,industry_title
31,2727,王品,餐飲飯店,餐飲業,餐飲飯店:餐飲業類
31,2732,六角,餐飲飯店,餐飲業,餐飲飯店:餐飲業類
32,2412,中華電,通訊設備,電信業,通訊設備:電信業類
32,3045,台灣大,通訊設備,電信業,通訊設備:電信業類
32,4904,遠傳,通訊設備,電信業,通訊設備:電信業類
33,3048,益登,資訊通路,零組件代理,資訊通路:零組件代理類
33,3209,全科,資訊通路,零組件代理,資訊通路:零組件代理類
34,2495,普安,光電/ IO,硬碟磁碟,光電/ IO:硬碟磁碟類
34,3060,銘異,光電/ IO,硬碟磁碟,光電/ IO:硬碟磁碟類
35,3083,網龍,軟體服務,應用軟體,軟體服務:應用軟體類
35,3546,宇峻,軟體服務,應用軟體,軟體服務:應用軟體類
35,5478,智冠,軟體服務,應用軟體,軟體服務:應用軟體類
35,6180,橘子,軟體服務,應用軟體,軟體服務:應用軟體類
36,3141,晶宏,半導體,IC設計,半導體:IC設計類
36,3169,亞信,半導體,IC設計,半導體:IC設計類
36,6143,振曜,光電/ IO,PC週邊,光電/ IO:PC週邊類
36,6411,晶焱,半導體,IC設計,半導體:IC設計類
36,8069,元太,光電/ IO,LCD 面板,光電/ IO:LCD 面板類
37,3234,光環,通訊設備,光纖通訊,通訊設備:光纖通訊類
37,4908,前鼎,通訊設備,光纖通訊,通訊設備:光纖通訊類
37,4979,華星光,通訊設備,光纖通訊,通訊設備:光纖通訊類
38,2409,友達,光電/ IO,LCD 面板,光電/ IO:LCD 面板類
38,3481,群創,光電/ IO,LCD 面板,光電/ IO:LCD 面板類
38,6116,彩晶,光電/ IO,LCD 面板,光電/ IO:LCD 面板類
39,3545,敦泰,半導體,IC設計,半導體:IC設計類
39,4961,天鈺,半導體,IC設計,半導體:IC設計類
39,6203,海韻電,電子零組件,電源供應器,電子零組件:電源供應器類
39,8016,矽創,半導體,IC設計,半導體:IC設計類
40,2417,圓剛,主機板,電視卡,主機板:電視卡類
40,3669,圓展,光電/ IO,其他光學,光電/ IO:其他光學類
41,1589,永冠-KY,機械業,模具零件,機械業:模具零件類
41,3708,上緯投控,樹脂,,樹脂類
41,9958,世紀鋼,金屬基本,鋼筋,金屬基本:鋼筋類
42,4114,健喬,藥,西藥,藥:西藥類
42,6461,益得,藥,西藥,藥:西藥類
43,4106,雃博,醫療耗材,,醫療耗材類
43,4121,優盛,藥局,,藥局類
44,4128,中天,藥,西藥,藥:西藥類
44,4743,合一,藥,西藥,藥:西藥類
45,1760,寶齡富錦,藥,西藥,藥:西藥類
45,4133,亞諾法,醫療耗材,,醫療耗材類
45,4171,瑞基,醫療耗材,,醫療耗材類
45,4736,泰博,醫療耗材,,醫療耗材類
45,6598,ABC-KY,醫療耗材,,醫療耗材類
46,4147,中裕,藥,西藥,藥:西藥類
46,4174,浩鼎,藥,西藥,藥:西藥類
47,3625,西勝,電子零組件,3C二次電池,電子零組件:3C二次電池類
47,4721,美琪瑪,其他化學,,其他化學類
47,4739,康普,其他化學,,其他化學類
47,6509,聚和,其他化學,,其他化學類
48,4934,太極,光電/ IO,太陽能電池,光電/ IO:太陽能電池類
48,6125,廣運,電子設備,電機設備,電子設備:電機設備類
49,4958,臻鼎-KY,主機板,軟板,主機板:軟板類
49,6269,台郡,主機板,軟板,主機板:軟板類
50,4989,榮科,主機板,PCB上-其他,主機板:PCB上-其他類
50,8358,金居,主機板,PCB上-其他,主機板:PCB上-其他類
51,3294,英濟,電子零組件,機殼,電子零組件:機殼類
51,5245,智晶,光電/ IO,LCD 面板,光電/ IO:LCD 面板類
51,8104,錸寶,光電/ IO,LCD 面板,光電/ IO:LCD 面板類
51,8111,立碁,光電/ IO,封裝及應用,光電/ IO:封裝及應用類
52,3596,智易,網路設備,,網路設備類
52,5388,中磊,網路設備,,網路設備類
52,6285,啟碁,通訊設備,通訊設備,通訊設備:通訊設備類
53,3532,台勝科,半導體,晶圓材料,半導體:晶圓材料類
53,5483,中美晶,半導體,晶圓材料,半導體:晶圓材料類
53,6182,合晶,半導體,晶圓材料,半導體:晶圓材料類
53,6488,環球晶,半導體,晶圓材料,半導體:晶圓材料類
54,2643,捷迅,貨運倉儲業,,貨運倉儲業類
54,5609,中菲行,貨運倉儲業,,貨運倉儲業類
55,2707,晶華,餐飲飯店,飯店業,餐飲飯店:飯店業類
55,2731,雄獅,旅行社,,旅行社類
55,2736,富野,餐飲飯店,飯店業,餐飲飯店:飯店業類
55,2743,山富,旅行社,,旅行社類
55,5706,鳳凰,旅行社,,旅行社類
56,3035,智原,半導體,IC設計,半導體:IC設計類
56,3556,禾瑞亞,半導體,IC設計,半導體:IC設計類
56,6104,創惟,半導體,IC設計,半導體:IC設計類
57,3015,全漢,電子零組件,電源供應器,電子零組件:電源供應器類
57,6188,廣明,光電/ IO,PC週邊,光電/ IO:PC週邊類
58,6206,飛捷,主機板,POS,主機板:POS類
58,8114,振樺電,主機板,POS,主機板:POS類
59,2383,台光電,主機板,銅箔基板,主機板:銅箔基板類
59,6213,聯茂,主機板,銅箔基板,主機板:銅箔基板類
59,6274,台燿,主機板,銅箔基板,主機板:銅箔基板類
60,6245,立端,主機板,工業電腦,主機板:工業電腦類
60,8050,廣積,主機板,工業電腦,主機板:工業電腦類
61,1708,東鹼,其他化學,,其他化學類
61,1712,興農,藥,農藥肥料,藥:農藥肥料類
61,6508,惠光,藥,農藥肥料,藥:農藥肥料類
62,3661,世芯-KY,半導體,IC設計,半導體:IC設計類
62,6531,愛普*,半導體,IC設計,半導體:IC設計類
62,6533,晶心科,半導體,IC設計,半導體:IC設計類
62,6643,M31,半導體,IC設計,半導體:IC設計類
63,3037,欣興,主機板,PCB,主機板:PCB類
63,3189,景碩,主機板,IC載板,主機板:IC載板類
63,8046,南電,主機板,IC載板,主機板:IC載板類
64,2455,全新,半導體,特用IC,半導體:特用IC類
64,3105,穩懋,半導體,特用IC,半導體:特用IC類
64,4968,立積,半導體,IC設計,半導體:IC設計類
64,8086,宏捷科,半導體,特用IC,半導體:特用IC類
65,8924,大田,其他,高爾夫球頭,其他:高爾夫球頭類
65,8938,明安,其他,高爾夫球頭,其他:高爾夫球頭類
66,9914,美利達,其他,自行健行車,其他:自行健行車類
66,9921,巨大,其他,自行健行車,其他:自行健行車類
67,5871,中租-KY,租賃業,,租賃業類
67,6592,和潤企業,租賃業,,租賃業類
67,9941,裕融,租賃業,,租賃業類
68,2597,潤弘,營造,,營造類
68,2915,潤泰全,百貨批發,量販,百貨批發:量販類
68,9945,潤泰新,建設,,建設類
