,代號,名稱,交易所主產業代碼,交易所子產業代碼,TEJ主產業代碼,TEJ子產業代碼,new_industry,minor_industry,industry_title
63,1416,廣豐,M9900,M9900,29A,29A1,百貨批發,百貨購物中,百貨批發:百貨購物中類
64,1417,嘉裕,M1400,M1400,14C,14C1,成衣,成衣製造,成衣:成衣製造類
65,1418,東華,M1400,M1400,14B,14B2,棉紡,亞克力纖維,棉紡:亞克力纖維類
66,1419,新紡,M1400,M1400,14C,14C2,成衣,織布,成衣:織布類
67,1423,利華,M1400,M1400,14D,14D2,毛紡,毛紡,毛紡:毛紡類
68,1432,大魯閣,M2900,M2900,29A,29A1,百貨批發,百貨購物中,百貨批發:百貨購物中類
69,1434,福懋,M1400,M1400,14C,14C2,成衣,織布,成衣:織布類
70,1436,華友聯,M2500,M2500,25A,25A,建設,,建設類
71,1437,勤益控,M9900,M9900,25F,25F,物業管理,,物業管理類
72,1438,三地開發,M2500,M2500,25A,25A,建設,,建設類
73,1439,雋揚,M1400,M1400,14D,14D2,毛紡,毛紡,毛紡:毛紡類
74,1440,南紡,M1400,M1400,14A,14A1,人纖,聚酯絲棉,人纖:聚酯絲棉類
75,1441,大東,M1400,M1400,14B,14B1,棉紡,聚酯紗棉紗,棉紡:聚酯紗棉紗類
76,1442,名軒,M2500,M2500,25A,25A,建設,,建設類
77,1443,立益物流,M9900,M9900,26C,26C,貨運倉儲業,,貨運倉儲業類
78,1444,力麗,M1400,M1400,14A,14A2,人纖,加工絲,人纖:加工絲類
79,1445,大宇,M1400,M1400,14C,14C2,成衣,織布,成衣:織布類
80,1446,宏和,M1400,M1400,14C,14C2,成衣,織布,成衣:織布類
81,1447,力鵬,M1400,M1400,14A,14A7,人纖,尼龍絲,人纖:尼龍絲類
82,1449,佳和,M1400,M1400,14C,14C2,成衣,織布,成衣:織布類
83,1451,年興,M1400,M1400,14C,14C1,成衣,成衣製造,成衣:成衣製造類
84,1452,宏益,M1400,M1400,14A,14A2,人纖,加工絲,人纖:加工絲類
85,1453,大將,M2500,M2500,25A,25A,建設,,建設類
86,1454,台富,M1400,M1400,14C,14C2,成衣,織布,成衣:織布類
87,1455,集盛,M1400,M1400,14A,14A7,人纖,尼龍絲,人纖:尼龍絲類
88,1456,怡華,M2500,M2500,25A,25A,建設,,建設類
89,1457,宜進,M1400,M1400,14A,14A2,人纖,加工絲,人纖:加工絲類
90,1459,聯發,M1400,M1400,14A,14A2,人纖,加工絲,人纖:加工絲類
91,1460,宏遠,M1400,M1400,14C,14C2,成衣,織布,成衣:織布類
92,1463,強盛,M1400,M1400,14E,14E,染整,,染整類
93,1464,得力,M1400,M1400,14C,14C2,成衣,織布,成衣:織布類
94,1465,偉全,M1400,M1400,14C,14C2,成衣,織布,成衣:織布類
95,1466,聚隆,M1400,M1400,14A,14A7,人纖,尼龍絲,人纖:尼龍絲類
96,1467,南緯,M1400,M1400,14C,14C1,成衣,成衣製造,成衣:成衣製造類
97,1468,昶和,M1400,M1400,14C,14C2,成衣,織布,成衣:織布類
98,1470,大統新創,M1400,M1400,14E,14E,染整,,染整類
99,1471,首利,M2300,M2328,23D,23D3,電子零組件,電源供應器,電子零組件:電源供應器類
100,1472,三洋實業,M1400,M1400,25B,25B,營造,,營造類
101,1473,台南,M1400,M1400,14C,14C1,成衣,成衣製造,成衣:成衣製造類
102,1474,弘裕,M1400,M1400,14C,14C2,成衣,織布,成衣:織布類
103,1475,業旺,M1400,M1400,14C,14C2,成衣,織布,成衣:織布類
104,1476,儒鴻,M1400,M1400,14C,14C1,成衣,成衣製造,成衣:成衣製造類
105,1477,聚陽,M1400,M1400,14C,14C1,成衣,成衣製造,成衣:成衣製造類
106,1503,士電,M1500,M1500,15B,15B1,電機製品,電機,電機製品:電機類
107,1504,東元,M1500,M1500,15B,15B1,電機製品,電機,電機製品:電機類
108,1506,正道,M1500,M1500,15D,15D,汽車組件,,汽車組件類
109,1512,瑞利,M2200,M2200,15D,15D,汽車組件,,汽車組件類
110,1513,中興電,M1500,M1500,15B,15B1,電機製品,電機,電機製品:電機類
111,1514,亞力,M1500,M1500,15B,15B1,電機製品,電機,電機製品:電機類
112,1515,力山,M1500,M1500,15Z,15Z,其他電製品,,其他電製品類
113,1516,川飛,M9900,M9900,99Z,99ZC,其他,其他製造業,其他:其他製造業類
114,1517,利奇,M1500,M1500,15E,15E,自行車組件,,自行車組件類
115,1519,華城,M1500,M1500,15B,15B1,電機製品,電機,電機製品:電機類
116,1521,大億,M2200,M2200,15D,15D,汽車組件,,汽車組件類
117,1522,堤維西,M2200,M2200,15D,15D,汽車組件,,汽車組件類
118,1524,耿鼎,M2200,M2200,15D,15D,汽車組件,,汽車組件類
119,1525,江申,M2200,M2200,15D,15D,汽車組件,,汽車組件類
120,1526,日馳,M1500,M1500,15E,15E,自行車組件,,自行車組件類
121,1527,鑽全,M1500,M1500,15A,15A1,機械業,工具機,機械業:工具機類
122,1528,恩德,M1500,M1500,15A,15A1,機械業,工具機,機械業:工具機類
123,1529,樂事綠能,M1500,M1500,15B,15B1,電機製品,電機,電機製品:電機類
124,1530,亞崴,M1500,M1500,15A,15A1,機械業,工具機,機械業:工具機類
125,1531,高林股,M1500,M1500,15A,15A3,機械業,紡織工具機,機械業:紡織工具機類
126,1532,勤美,M1500,M1500,15A,15A2,機械業,模具零件,機械業:模具零件類
127,1533,車王電,M2200,M2200,15D,15D,汽車組件,,汽車組件類
128,1535,中宇,M1500,M1500,15B,15B2,電機製品,機電工程,電機製品:機電工程類
129,1536,和大,M2200,M2200,15D,15D,汽車組件,,汽車組件類
130,1537,廣隆,M1500,M1500,23D,23D7,電子零組件,3C二次電池,電子零組件:3C二次電池類
131,1538,正峰,M1500,M1500,15A,15A1,機械業,工具機,機械業:工具機類
132,1539,巨庭,M1500,M1500,15A,15A1,機械業,工具機,機械業:工具機類
133,1540,喬福,M1500,M1500,15A,15A1,機械業,工具機,機械業:工具機類
134,1541,錩泰,M1500,M1500,15A,15A1,機械業,工具機,機械業:工具機類
135,1558,伸興,M1500,M1500,15A,15A3,機械業,紡織工具機,機械業:紡織工具機類
136,1560,中砂,M1500,M1500,23G,23G3C,半導體,晶圓材料,半導體:晶圓材料類
137,1565,精華,M1700,M1722,17G,17G,醫療耗材,,醫療耗材類
138,1568,倉佑,M2200,M2200,15D,15D,汽車組件,,汽車組件類
139,1569,濱川,M2300,M2325,23D,23D4,電子零組件,機殼,電子零組件:機殼類
140,1570,力肯,M1500,M1500,15A,15A1,機械業,工具機,機械業:工具機類
141,1580,新麥,M1500,M1500,15Z,15Z,其他電製品,,其他電製品類
142,1582,信錦,M2300,M2328,23D,23D9A,電子零組件,沖壓零組件,電子零組件:沖壓零組件類
143,1583,程泰,M1500,M1500,15A,15A1,機械業,工具機,機械業:工具機類
144,1584,精剛,M9900,M9900,20A,20A6,金屬基本,不銹鋼,金屬基本:不銹鋼類
145,1586,和勤,M1500,M1500,23D,23D9A,電子零組件,沖壓零組件,電子零組件:沖壓零組件類
146,1587,吉茂,M2200,M2200,15D,15D,汽車組件,,汽車組件類
147,1589,永冠-KY,M1500,M1500,15A,15A2,機械業,模具零件,機械業:模具零件類
148,1590,亞德客-KY,M1500,M1500,15A,15A2,機械業,模具零件,機械業:模具零件類
149,1591,駿吉-KY,M1500,M1500,15A,15A1,機械業,工具機,機械業:工具機類
150,1593,祺驊,M1700,M1722,15Z,15Z,其他電製品,,其他電製品類
151,1595,川寶,M2300,M2328,23H,23H2,電子設備,電機設備,電子設備:電機設備類
152,1597,直得,M1500,M1500,15A,15A2,機械業,模具零件,機械業:模具零件類
153,1598,岱宇,M1700,M1722,15Z,15Z,其他電製品,,其他電製品類
154,1599,宏佳騰,M1500,M1500,22A,22A,汽車製造,,汽車製造類
155,1603,華電,M1600,M1600,16,16,,,
156,1604,聲寶,M1600,M1600,15C,15C1,家電製品,家電,家電製品:家電類
157,1605,華新,M1600,M1600,16,16,,,
158,1608,華榮,M1600,M1600,16,16,,,
159,1609,大亞,M1600,M1600,16,16,,,
160,1611,中電,M1600,M1600,15C,15C4,家電製品,照明,家電製品:照明類
161,1612,宏泰,M1600,M1600,16,16,,,
162,1614,三洋電,M1600,M1600,15C,15C1,家電製品,家電,家電製品:家電類
163,1615,大山,M1600,M1600,16,16,,,
164,1616,億泰,M1600,M1600,16,16,,,
165,1617,榮星,M1600,M1600,16,16,,,
166,1618,合機,M1600,M1600,16,16,,,
167,1626,艾美特-KY,M1600,M1600,15C,15C1,家電製品,家電,家電製品:家電類
168,1701,中化,M1700,M1722,17C,17C1,藥,西藥,藥:西藥類
169,1702,南僑,M1200,M1200,12B,12B,油脂飼料,,油脂飼料類
170,1707,葡萄王,M1700,M1722,17C,17C2,藥,機能性食品,藥:機能性食品類
171,1708,東鹼,M1700,M1721,17Z,17Z,其他化學,,其他化學類
172,1709,和益,M1700,M1721,17E,170,清潔劑,,清潔劑類
173,1710,東聯,M1700,M1721,13A,13A5,石化,化纖,石化:化纖類
174,1711,永光,M1700,M1721,17B,17B,染料及顏料,,染料及顏料類
175,1712,興農,M1700,M1721,17C,17C3,藥,農藥肥料,藥:農藥肥料類
176,1713,國化,M1700,M1721,17B,17B,染料及顏料,,染料及顏料類
177,1714,和桐,M1700,M1721,17E,170,清潔劑,,清潔劑類
178,1717,長興,M1700,M1721,17F,17F,樹脂,,樹脂類
179,1718,中纖,M1700,M1721,13A,13A5,石化,化纖,石化:化纖類
180,1720,生達,M1700,M1722,17C,17C1,藥,西藥,藥:西藥類
181,1721,三晃,M1700,M1721,17F,17F,樹脂,,樹脂類
182,1722,台肥,M1700,M1721,17C,17C3,藥,農藥肥料,藥:農藥肥料類
183,1723,中碳,M1700,M1721,17Z,17Z,其他化學,,其他化學類
184,1725,元禎,M1700,M1721,17Z,17Z,其他化學,,其他化學類
185,1726,永記,M1700,M1721,17B,17B,染料及顏料,,染料及顏料類
186,1727,中華化,M1700,M1721,17Z,17Z,其他化學,,其他化學類
187,1730,花仙子,M1700,M1721,17E,1700,清潔劑,,清潔劑類
188,1731,美吾華,M1700,M1722,17C,17C1,藥,西藥,藥:西藥類
189,1732,毛寶,M1700,M1721,17E,1700,清潔劑,,清潔劑類
190,1733,五鼎,M1700,M1722,17G,17G,醫療耗材,,醫療耗材類
191,1734,杏輝,M1700,M1722,17C,17C1,藥,西藥,藥:西藥類
192,1735,日勝化,M1700,M1721,17F,17F,樹脂,,樹脂類
193,1736,喬山,M1700,M1722,15Z,15Z,其他電製品,,其他電製品類
194,1737,臺鹽,M1200,M1200,12Z,12Z,其他食品,,其他食品類
195,1742,台蠟,M1700,M1721,17Z,17Z,其他化學,,其他化學類
196,1752,南光,M1700,M1722,17C,17C1,藥,西藥,藥:西藥類
197,1760,寶齡富錦,M1700,M1722,17C,17C1,藥,西藥,藥:西藥類
198,1762,中化生,M1700,M1722,17C,17C1,藥,西藥,藥:西藥類
199,1773,勝一,M1700,M1721,17Z,17Z,其他化學,,其他化學類
200,1776,展宇,M1700,M1721,17F,17F,樹脂,,樹脂類
201,1777,生泰,M1700,M1722,17C,17C1,藥,西藥,藥:西藥類
202,1781,合世,M1700,M1722,17G,17G,醫療耗材,,醫療耗材類
203,1783,和康生,M1700,M1722,17G,17G,醫療耗材,,醫療耗材類
204,1784,訊聯,M1700,M1722,17H,17H,生物科技,,生物科技類
205,1785,光洋科,M2300,M2331,99L,99L1,,貴金屬回收,貴金屬回收類
206,1786,科妍,M1700,M1722,17G,17G,醫療耗材,,醫療耗材類
207,1788,杏昌,M1700,M1722,17G,17G,醫療耗材,,醫療耗材類
208,1789,神隆,M1700,M1722,17C,17C1,藥,西藥,藥:西藥類
209,1795,美時,M1700,M1722,17C,17C1,藥,西藥,藥:西藥類
210,1796,金穎生技,M1200,M1200,17C,17C2,藥,機能性食品,藥:機能性食品類
211,1799,易威,M1700,M1722,17C,17C1,藥,西藥,藥:西藥類
212,1802,台玻,M1800,M1800,18,18,,,
213,1805,寶徠,M2500,M2500,25A,25A,建設,,建設類
214,1806,冠軍,M1800,M1800,18,18,,,
215,1808,潤隆,M2500,M2500,25A,25A,建設,,建設類
216,1809,中釉,M1800,M1800,18,18,,,
217,1810,和成,M1800,M1800,18,18,,,
218,1813,寶利徠,M1700,M1722,17G,17G,醫療耗材,,醫療耗材類
219,1815,富喬,M2300,M2328,23B,23B3B,主機板,玻纖紗. 布,主機板:玻纖紗. 布類
220,1817,凱撒衛,M1800,M1800,18,18,,,
221,1903,士紙,M1900,M1900,19A,19A,造紙,,造紙類
222,1904,正隆,M1900,M1900,19A,19A,造紙,,造紙類
223,1905,華紙,M1900,M1900,19B,19B,紙漿,,紙漿類
224,1906,寶隆,M1900,M1900,19A,19A,造紙,,造紙類
225,1907,永豐餘,M1900,M1900,19A,19A,造紙,,造紙類
226,1909,榮成,M1900,M1900,19A,19A,造紙,,造紙類
227,2002,中鋼,M2000,M2000,20A,20A3,金屬基本,鋼板,金屬基本:鋼板類
228,2006,東和鋼鐵,M2000,M2000,20A,20A2,金屬基本,鋼筋,金屬基本:鋼筋類
229,2007,燁興,M2000,M2000,20A,20A1,金屬基本,線材,金屬基本:線材類
230,2008,高興昌,M2000,M2000,20A,20A7,金屬基本,鋼管,金屬基本:鋼管類
231,2009,第一銅,M2000,M2000,20A,20A4,金屬基本,銅,金屬基本:銅類
232,2010,春源,M2000,M2000,20A,20A3,金屬基本,鋼板,金屬基本:鋼板類
233,2012,春雨,M2000,M2000,20A,20A1,金屬基本,線材,金屬基本:線材類
234,2013,中鋼構,M2000,M2000,20A,20A2,金屬基本,鋼筋,金屬基本:鋼筋類
235,2014,中鴻,M2000,M2000,20A,20A3,金屬基本,鋼板,金屬基本:鋼板類
236,2015,豐興,M2000,M2000,20A,20A2,金屬基本,鋼筋,金屬基本:鋼筋類
237,2017,官田鋼,M2000,M2000,20A,20A1,金屬基本,線材,金屬基本:線材類
238,2020,美亞,M2000,M2000,20A,20A7,金屬基本,鋼管,金屬基本:鋼管類
239,2022,聚亨,M2000,M2000,20A,20A1,金屬基本,線材,金屬基本:線材類
240,2023,燁輝,M2000,M2000,20A,20A3,金屬基本,鋼板,金屬基本:鋼板類
241,2024,志聯,M2000,M2000,20A,20A1,金屬基本,線材,金屬基本:線材類
242,2025,千興,M2000,M2000,20A,20A6,金屬基本,不銹鋼,金屬基本:不銹鋼類
243,2027,大成鋼,M2000,M2000,20A,20A6,金屬基本,不銹鋼,金屬基本:不銹鋼類
244,2028,威致,M2000,M2000,20A,20A2,金屬基本,鋼筋,金屬基本:鋼筋類
245,2029,盛餘,M2000,M2000,20A,20A3,金屬基本,鋼板,金屬基本:鋼板類
246,2030,彰源,M2000,M2000,20A,20A7,金屬基本,鋼管,金屬基本:鋼管類
247,2031,新光鋼,M2000,M2000,20A,20A3,金屬基本,鋼板,金屬基本:鋼板類
248,2032,新鋼,M2000,M2000,20A,20A6,金屬基本,不銹鋼,金屬基本:不銹鋼類
249,2033,佳大,M2000,M2000,20A,20A1,金屬基本,線材,金屬基本:線材類
250,2034,允強,M2000,M2000,20A,20A7,金屬基本,鋼管,金屬基本:鋼管類
251,2035,唐榮,M2000,M2000,20A,20A6,金屬基本,不銹鋼,金屬基本:不銹鋼類
252,2038,海光,M2000,M2000,20A,20A2,金屬基本,鋼筋,金屬基本:鋼筋類
253,2049,上銀,M1500,M1500,15A,15A2,機械業,模具零件,機械業:模具零件類
254,2059,川湖,M2300,M2328,20B,20B,金屬製品,,金屬製品類
255,2061,風青,M1600,M1600,20A,20A4,金屬基本,銅,金屬基本:銅類
256,2062,橋椿,M9900,M9900,99B,99B,家用五金及家具,,家用五金及家具類
257,2063,世鎧,M2000,M2000,20A,20A1,金屬基本,線材,金屬基本:線材類
258,2064,晉椿,M2000,M2000,20A,20A1,金屬基本,線材,金屬基本:線材類
259,2065,世豐,M2000,M2000,20A,20A1,金屬基本,線材,金屬基本:線材類
260,2066,世德,M1500,M1500,15D,15D,汽車組件,,汽車組件類
261,2067,嘉鋼,M1500,M1500,15A,15A2,機械業,模具零件,機械業:模具零件類
262,2069,運錩,M2000,M2000,20A,20A6,金屬基本,不銹鋼,金屬基本:不銹鋼類
263,2070,精湛,M1500,M1500,15H,15H,儀器設備,,儀器設備類
264,2073,雄順,M2000,M2000,20B,20B,金屬製品,,金屬製品類
265,2101,南港,M2100,M2100,21A,21A,輪胎,,輪胎類
266,2102,泰豐,M2100,M2100,21A,21A,輪胎,,輪胎類
267,2103,台橡,M2100,M2100,21C,21C,橡膠原料,,橡膠原料類
268,2104,國際中橡,M2100,M2100,21C,21C,橡膠原料,,橡膠原料類
269,2105,正新,M2100,M2100,21A,21A,輪胎,,輪胎類
270,2106,建大,M2100,M2100,21A,21A,輪胎,,輪胎類
271,2107,厚生,M2100,M2100,21B,21B2,橡膠,其他橡膠,橡膠:其他橡膠類
272,2108,南帝,M2100,M2100,21C,21C,橡膠原料,,橡膠原料類
273,2109,華豐,M2100,M2100,21A,21A,輪胎,,輪胎類
274,2114,鑫永銓,M2100,M2100,21B,21B1,橡膠,工業橡膠,橡膠:工業橡膠類
275,2115,六暉-KY,M2200,M2200,15D,15D,汽車組件,,汽車組件類
276,2201,裕隆,M2200,M2200,22A,22A,汽車製造,,汽車製造類
277,2204,中華,M2200,M2200,22A,22A,汽車製造,,汽車製造類
278,2206,三陽工業,M2200,M2200,22A,22A,汽車製造,,汽車製造類
279,2207,和泰車,M2200,M2200,22X,22X,汽車買賣,,汽車買賣類
280,2208,台船,M2600,M2600,22B,22B1,機車船製造,船舶製造,機車船製造:船舶製造類
281,2211,長榮鋼,M2000,M2000,20A,20A2,金屬基本,鋼筋,金屬基本:鋼筋類
282,2221,大甲,M9900,M9900,20A,20A7,金屬基本,鋼管,金屬基本:鋼管類
283,2227,裕日車,M2200,M2200,22X,22X,汽車買賣,,汽車買賣類
284,2228,劍麟,M2200,M2200,15D,15D,汽車組件,,汽車組件類
285,2230,泰茂,M1500,M1500,15D,15D,汽車組件,,汽車組件類
286,2231,為升,M2200,M2200,15D,15D,汽車組件,,汽車組件類
287,2233,宇隆,M2200,M2200,15D,15D,汽車組件,,汽車組件類
288,2235,謚源,M1500,M1500,15D,15D,汽車組件,,汽車組件類
289,2236,百達-KY,M2200,M2200,15D,15D,汽車組件,,汽車組件類
290,2239,英利-KY,M2200,M2200,15D,15D,汽車組件,,汽車組件類
291,2241,艾姆勒,M2200,M2200,15D,15D,汽車組件,,汽車組件類
292,2243,宏旭-KY,M2200,M2200,15D,15D,汽車組件,,汽車組件類
293,2247,汎德永業,M2200,M2200,22X,22X,汽車買賣,,汽車買賣類
294,2250,IKKA-KY,M2200,M2200,15D,15D,汽車組件,,汽車組件類
295,2254,巨鎧,M1500,M1500,15D,15D,汽車組件,,汽車組件類
296,2301,光寶科,M2300,M2325,23C,23C3,光電/ IO,PC週邊,光電/ IO:PC週邊類
297,2302,麗正,M2300,M2324,23D,23D1,電子零組件,二極體整流,電子零組件:二極體整流類
298,2303,聯電,M2300,M2324,23G,23G1A,半導體,晶圓代工,半導體:晶圓代工類
299,2305,全友,M2300,M2325,23C,23C2,光電/ IO,掃瞄器,光電/ IO:掃瞄器類
300,2308,台達電,M2300,M2328,23D,23D3,電子零組件,電源供應器,電子零組件:電源供應器類
301,2312,金寶,M2300,M2331,23A,23A1,PC系統,PC,PC系統:PC類
302,2313,華通,M2300,M2328,23B,23B2D,主機板,PCB,主機板:PCB類
303,2314,台揚,M2300,M2327,23K,23K2,通訊設備,通訊設備,通訊設備:通訊設備類
304,2316,楠梓電,M2300,M2328,23B,23B2D,主機板,PCB,主機板:PCB類
305,2317,鴻海,M2300,M2331,23A,23A1,PC系統,PC,PC系統:PC類
306,2321,東訊,M2300,M2327,23K,23KX,通訊設備,網路服務,通訊設備:網路服務類
307,2323,中環,M2300,M2326,23C,23C4A,光電/ IO,光碟,光電/ IO:光碟類
308,2324,仁寶,M2300,M2325,23A,23A1,PC系統,PC,PC系統:PC類
309,2327,國巨,M2300,M2328,23D,23D5,電子零組件,被動元件,電子零組件:被動元件類
310,2328,廣宇,M2300,M2328,23D,23D2,電子零組件,連接器,電子零組件:連接器類
311,2329,華泰,M2300,M2324,23G,23G2,半導體,IC封測,半導體:IC封測類
312,2330,台積電,M2300,M2324,23G,23G1A,半導體,晶圓代工,半導體:晶圓代工類
313,2331,精英,M2300,M2325,23B,23B1,主機板,主機板,主機板:主機板類
314,2332,友訊,M2300,M2327,23E,2300,網路設備,,網路設備類
315,2337,旺宏,M2300,M2324,23G,23G1B,半導體,記憶體製造,半導體:記憶體製造類
316,2338,光罩,M2300,M2324,23G,23G6,半導體,IC光罩,半導體:IC光罩類
317,2340,台亞,M2300,M2324,23C,23C6B,光電/ IO,磊晶及晶粒,光電/ IO:磊晶及晶粒類
318,2342,茂矽,M2300,M2324,23G,23G1A,半導體,晶圓代工,半導體:晶圓代工類
319,2344,華邦電,M2300,M2324,23G,23G1B,半導體,記憶體製造,半導體:記憶體製造類
320,2345,智邦,M2300,M2327,23E,2300,網路設備,,網路設備類
321,2347,聯強,M2300,M2329,23T,23T1,資訊通路,3C通路,資訊通路:3C通路類
322,2348,海悅,M9900,M9900,25A,25A,建設,,建設類
323,2349,錸德,M2300,M2326,23C,23C4A,光電/ IO,光碟,光電/ IO:光碟類
324,2351,順德,M2300,M2324,23G,23G4,半導體,IC導線架,半導體:IC導線架類
325,2352,佳世達,M2300,M2325,23C,23C1,光電/ IO,監視器,光電/ IO:監視器類
326,2353,宏碁,M2300,M2325,23A,23A3,PC系統,PC品牌,PC系統:PC品牌類
327,2354,鴻準,M2300,M2331,23D,23D4,電子零組件,機殼,電子零組件:機殼類
328,2355,敬鵬,M2300,M2328,23B,23B2D,主機板,PCB,主機板:PCB類
329,2356,英業達,M2300,M2325,23A,23A1,PC系統,PC,PC系統:PC類
330,2357,華碩,M2300,M2325,23A,23A3,PC系統,PC品牌,PC系統:PC品牌類
331,2358,廷鑫,M9900,M9900,20A,20A5,金屬基本,鋁鋅,金屬基本:鋁鋅類
332,2359,所羅門,M2300,M2331,23T,23T2,資訊通路,零組件代理,資訊通路:零組件代理類
333,2360,致茂,M2300,M2331,23H,23H2,電子設備,電機設備,電子設備:電機設備類
334,2362,藍天,M2300,M2325,23A,23A2,PC系統,NB,PC系統:NB類
335,2363,矽統,M2300,M2324,23G,23G5,半導體,IC設計,半導體:IC設計類
