,st_code,st_name,rev_period,rev,Year,month,mom,yoy,yoy年成長大於10,yoy成長,yoy衰退,yoy近五月大於10,yoy連續大於10,yoy近五月成長,yoy連續成長,yoy近五月衰退,yoy連續衰退
169002,8349,恒耀,* 2023/02,787928.0,2023,02,-0.2016131320295876,-0.0927,0,0,1,0.0,0,0.0,0,5.0,6
169098,8354,冠好,* 2023/02,45440.0,2023,02,-0.21217795346579285,-0.0551,0,1,0,0.0,0,3.0,2,2.0,0
169195,8358,金居,* 2023/02,557421.0,2023,02,0.004063656750695739,-0.2046,0,1,0,0.0,0,4.0,1,1.0,0
169291,8359,錢櫃,* 2023/02,385582.0,2023,02,0.058927566083075866,0.3405,0,0,1,0.0,0,2.0,0,3.0,1
169388,8367,建新國際,* 2023/02,157221.0,2023,02,-0.11795496112114717,0.0503,0,1,0,0.0,0,3.0,1,2.0,0
169485,8374,羅昇,* 2023/02,222003.0,2023,02,-0.2979986908801143,-0.0923,0,1,0,0.0,0,3.0,1,2.0,0
169582,8383,千附,* 2023/02,270571.0,2023,02,-0.18757694224752433,-0.042,0,0,1,0.0,0,3.0,0,2.0,2
169678,8390,金益鼎,* 2023/02,246674.0,2023,02,-0.19834777889355784,0.0624,0,0,1,0.0,0,2.0,0,3.0,1
169774,8401,白紗科,* 2023/02,94631.0,2023,02,-0.23162928920573572,0.0784,0,1,0,0.0,0,2.0,1,3.0,0
169871,8403,盛弘,* 2023/02,274788.0,2023,02,-0.22039764860754896,0.0559,0,1,0,0.0,0,3.0,1,2.0,0
169968,8404,百和興業-KY,* 2023/02,503698.0,2023,02,-0.011310014525183527,0.1121,0,1,0,0.0,0,4.0,3,1.0,0
170064,8409,商之器,* 2023/02,17425.0,2023,02,-0.12185657410673789,0.8195,0,1,0,0.0,0,2.0,1,3.0,0
170161,8410,森田,* 2023/02,57133.0,2023,02,-0.39580799695434693,-0.2267,0,1,0,0.0,0,2.0,1,3.0,0
170258,8411,福貞-KY,* 2023/02,331040.0,2023,02,-0.5923152709359606,-0.2709,0,0,1,0.0,0,2.0,0,3.0,2
170355,8415,大國鋼,* 2023/02,1923985.0,2023,02,0.023383756475319716,0.0547,0,1,0,0.0,0,2.0,1,3.0,0
170451,8416,實威,* 2023/02,79970.0,2023,02,-0.22010922566803198,0.0951,0,1,0,0.0,0,2.0,1,3.0,0
170548,8418,捷必勝-KY,* 2023/02,108935.0,2023,02,-0.23638517563105912,-0.2916,0,0,1,0.0,0,3.0,0,2.0,1
170645,8420,明揚,* 2023/02,265230.0,2023,02,0.12053231939163499,0.3616,0,1,0,0.0,0,3.0,1,2.0,0
170741,8421,旭源,* 2023/02,75885.0,2023,02,-0.25094760532238325,-0.1495,0,1,0,0.0,0,3.0,1,2.0,0
170837,8422,可寧衛,* 2023/02,437721.0,2023,02,0.06932049982288778,0.2687,0,1,0,0.0,0,2.0,1,3.0,0
170934,8423,保綠-KY,* 2023/02,26335.0,2023,02,-0.10076487058662842,0.2768,0,1,0,0.0,0,4.0,3,1.0,0
171030,8424,惠普,* 2023/02,65562.0,2023,02,-0.19696728439670272,0.0548,0,1,0,0.0,0,1.0,1,4.0,0
171127,8426,紅木-KY,* 2023/02,81056.0,2023,02,-0.26483819474677117,-0.102,0,0,1,0.0,0,1.0,0,4.0,3
171223,8429,金麗-KY,* 2023/02,5806.0,2023,02,-0.8075125153333554,-0.4037,0,1,0,0.0,0,2.0,1,3.0,0
171320,8431,匯鑽科,* 2023/02,63512.0,2023,02,-0.4246423944848578,-0.2585,0,1,0,0.0,0,2.0,1,3.0,0
171417,8432,東生華,* 2023/02,32596.0,2023,02,-0.3544579554006417,0.1591,0,1,0,0.0,0,2.0,1,3.0,0
171514,8433,弘帆,* 2023/02,132763.0,2023,02,-0.5520499090691311,-0.287,0,0,1,0.0,0,3.0,0,2.0,1
171610,8435,鉅邁,* 2023/02,51311.0,2023,02,-0.22234851929314056,0.0344,0,1,0,0.0,0,2.0,1,3.0,0
171707,8436,大江,* 2023/02,484092.0,2023,02,-0.1501313183803598,-0.001,0,0,1,0.0,0,2.0,0,3.0,1
171804,8437,大地-KY,* 2023/02,34167.0,2023,02,-0.422239883659976,-0.1854,0,0,1,0.0,0,1.0,0,4.0,1
171900,8440,綠電,* 2023/02,57713.0,2023,02,-0.16157478027166414,0.0336,0,1,0,0.0,0,2.0,1,3.0,0
171989,8442,威宏-KY,* 2023/02,531605.0,2023,02,-0.2463597790136706,0.058,0,1,0,0.0,0,1.0,1,4.0,0
172086,8443,阿瘦,* 2023/02,111727.0,2023,02,-0.09447006475770568,0.0027,0,1,0,0.0,0,3.0,3,2.0,0
172183,8444,綠河-KY,* 2023/02,247895.0,2023,02,-0.2642777222124942,-0.3169,0,1,0,0.0,0,3.0,2,2.0,0
172280,8446,華研,* 2023/02,73312.0,2023,02,-0.15534304971484533,0.1568,0,0,1,0.0,0,1.0,0,4.0,1
172376,8450,霹靂,* 2023/02,31675.0,2023,02,-0.14006081337894336,-0.1779,0,0,1,0.0,0,2.0,0,3.0,1
172473,8454,富邦媒,* 2023/02,7077647.0,2023,02,-0.1428570563531169,0.0125,0,0,1,0.0,0,3.0,0,2.0,2
172570,8455,大拓-KY,* 2023/02,128135.0,2023,02,0.15143373201657037,-0.0114,0,1,0,0.0,0,3.0,3,2.0,0
172667,8458,影一,* 2023/02,4724.0,2023,02,1.7755581668625147,-0.0183,0,0,1,0.0,0,1.0,0,4.0,4
172764,8462,柏文,* 2023/02,309126.0,2023,02,-0.08176123047310123,0.1385,0,1,0,0.0,0,3.0,3,2.0,0
172860,8463,潤泰材,* 2023/02,283728.0,2023,02,-0.10828954315741834,0.5303,0,1,0,0.0,0,3.0,1,2.0,0
172957,8464,億豐,* 2023/02,1809658.0,2023,02,-0.21158689627620064,-0.1555,0,1,0,0.0,0,3.0,1,2.0,0
173046,8466,美吉吉-KY,* 2023/02,147260.0,2023,02,-0.5197015012997348,-0.4458,0,1,0,0.0,0,2.0,2,3.0,0
173143,8467,波力-KY,* 2023/02,116011.0,2023,02,-0.20027160612975053,0.329,0,1,0,0.0,0,3.0,1,2.0,0
173240,8472,夠麻吉,* 2023/02,26757.0,2023,02,-0.06496365669555493,0.3226,0,1,0,0.0,0,3.0,2,2.0,0
173337,8473,山林水,* 2023/02,287558.0,2023,02,-0.1361018563304202,0.0381,0,1,0,0.0,0,4.0,2,1.0,0
173434,8476,台境,* 2023/02,172388.0,2023,02,-0.29189275782607443,0.1061,0,0,1,0.0,0,2.0,0,3.0,1
173530,8477,創業家,* 2023/02,174023.0,2023,02,-0.2876347277200365,-0.1327,0,1,0,0.0,0,3.0,1,2.0,0
173627,8478,東哥遊艇,* 2023/02,157209.0,2023,02,0.7607351656474699,-0.4942,0,1,0,0.0,0,1.0,1,4.0,0
173718,8480,泰昇-KY,* 2023/02,133409.0,2023,02,-0.011821784378356357,0.1894,0,1,0,0.0,0,3.0,2,2.0,0
173813,8481,政伸,* 2023/02,82284.0,2023,02,-0.3720935556488229,-0.0563,0,1,0,0.0,0,1.0,1,4.0,0
173880,8482,商億-KY,* 2023/02,231747.0,2023,02,-0.38367454403293494,-0.2025,0,0,1,0.0,0,2.0,0,3.0,1
173977,8487,愛爾達,* 2023/02,63687.0,2023,02,0.11453921808827132,0.1468,0,0,1,0.0,0,3.0,0,2.0,2
174064,8488,吉源-KY,* 2023/02,180169.0,2023,02,-0.4819812308081563,-0.3114,0,1,0,0.0,0,2.0,1,3.0,0
174161,8489,三貝德,* 2023/02,93364.0,2023,02,-0.15436521235066616,-0.1066,0,0,1,0.0,0,2.0,0,3.0,2
174258,8492,兔將,* 2023/02,13162.0,2023,02,0.0013694461351186854,-0.0773,0,1,0,0.0,0,2.0,2,3.0,0
174334,8499,鼎炫-KY,* 2023/02,162555.0,2023,02,-0.1847548070654082,-0.2081,0,1,0,0.0,0,3.0,2,2.0,0
174431,8905,裕國,* 2023/02,172011.0,2023,02,-0.17196112317253398,0.4294,0,1,0,0.0,0,3.0,1,2.0,0
174527,8906,花王,* 2023/02,13652.0,2023,02,-0.3977944419938244,-0.0925,0,1,0,0.0,0,3.0,2,2.0,0
174624,8908,欣雄,* 2023/02,557020.0,2023,02,-0.006435640032249549,0.0574,0,1,0,0.0,0,3.0,1,2.0,0
174721,8916,光隆,* 2023/02,465856.0,2023,02,-0.3406105625509557,-0.1519,0,1,0,0.0,0,2.0,2,3.0,0
174818,8917,欣泰,* 2023/02,206991.0,2023,02,-0.09471368528780172,-0.0277,0,0,1,0.0,0,2.0,0,3.0,1
174914,8921,沈氏,* 2023/02,46574.0,2023,02,-0.13532480552512857,0.0967,0,0,1,0.0,0,1.0,0,4.0,2
175010,8923,時報,* 2023/02,31645.0,2023,02,-0.23529553912329032,0.0234,0,1,0,0.0,0,2.0,1,3.0,0
