,,,,,,,,,,,,,
,代號,名稱,年月,營業收入淨額q,累計每股盈餘est,"eps
成長","eps
衰退","eps
近五月
成長","eps
連續
成長","eps
近五月
衰退","eps
連續
衰退",TEJ  產業別,TEJ 子產業別
96,3455,由田,2023/03,1002.2,12.63,1,0,4,3,1,0,M2326 光電業,M23H2 電機設備
97,3017,奇鋐,2023/03,14777,12.6,1,0,5,5,0,0,M2325 電腦及週邊,M23D9B 散熱零組件
98,8499,鼎炫-KY,2023/03,451.6,12.49,0,1,2,0,3,2,M2331 其他電子業,M23Z 其他電子
99,2428,興勤,2023/03,1876.3,12.45,0,1,1,0,4,2,M2328 電子零組件,M23D5 被動元件
100,6533,晶心科,2023/03,309.5,12.39,1,0,3,2,2,0,M2324 半導體,M23G5 IC設計
101,6196,帆宣,2023/03,14631.6,12.35,1,0,4,3,1,0,M2331 其他電子業,M23H1 廠辦機電
102,8083,瑞穎,2023/03,250.3,12.26,1,0,3,2,2,0,M1500 電機機械,M15A2 模具零件
103,6643,M31,2023/03,489.2,12.2,1,0,4,3,1,0,M2324 半導體,M23G5 IC設計
104,3010,華立,2023/03,16575,12.09,0,1,2,0,3,1,M2329 電子通路業,M23T2 零組件代理
105,3680,家登,2023/03,1331.4,11.98,1,0,5,7,0,0,M2324 半導體,M23H2 電機設備
106,1537,廣隆,2023/03,1583.6,11.89,0,1,2,0,3,2,M1500 電機機械,M23D7 二次電池
107,6664,群翊,2023/03,615,11.74,1,0,4,1,1,0,M2328 電子零組件,M23H2 電機設備
108,6605,帝寶,2023/03,4447.9,11.64,0,1,3,0,2,1,M2200 汽車工業,M15D 汽車組件
109,8155,博智,2023/03,778.4,11.59,0,1,1,0,4,3,M2328 電子零組件,M23B2D 硬板及其他
110,2376,技嘉,2023/03,27848.1,11.5,1,0,2,1,3,0,M2325 電腦及週邊,M23B1 主機板
111,3044,健鼎,2023/03,14662.6,11.3,0,1,1,0,4,4,M2328 電子零組件,M23B2D 硬板及其他
112,6727,亞泰金屬,2023/03,336.8,11.29,1,0,4,4,1,0,M2328 電子零組件,M23H2 電機設備
113,6456,GIS-KY,2023/03,32806.8,11.13,0,1,2,0,3,1,M2326 光電業,M23C8E 觸控面板
114,8416,實威,2023/03,459.5,11.12,1,0,3,1,2,0,M2330 資訊服務業,M23X9 應用軟體
115,3693,營邦,2023/03,1903.4,11.1,1,0,4,4,1,0,M2325 電腦及週邊,M23D4 機殼
116,6494,九齊,2023/03,342.7,10.95,1,0,2,1,3,0,M2324 半導體,M23G5 IC設計
117,6239,力成,2023/03,18402.6,10.93,0,1,1,0,4,2,M2324 半導體,M23G2 IC封測
118,6756,威鋒電子,2023/03,483.1,10.87,0,1,1,0,4,4,M2324 半導體,M23G5 IC設計
119,3706,神達,2023/03,12627.7,10.86,1,0,3,1,2,0,M2325 電腦及週邊,M23A1 EMS
120,2347,聯強,2023/03,112155.6,10.68,1,0,4,3,1,0,M2329 電子通路業,M23T1 3C通路
121,2233,宇隆,2023/03,740.3,10.67,0,1,2,0,3,1,M2200 汽車工業,M15D 汽車組件
122,6279,胡連,2023/04,2004,10.66,1,0,2,1,3,0,M2328 電子零組件,M15D 汽車組件
123,1558,伸興,2023/04,1888.2,10.64,1,0,2,1,3,0,M1500 電機機械,M15A3 紡織工具機
124,6438,迅得,2023/04,1471.4,10.63,1,0,2,1,3,0,M2331 其他電子業,M23H2 電機設備
125,8091,翔名,2023/04,512.4,10.62,0,1,4,0,1,1,M2328 電子零組件,M23H2 電機設備
126,2317,鴻海,2023/04,1957008.1,10.56,1,0,3,1,2,0,M2331 其他電子業,M23A1 EMS
127,8433,弘帆,2023/04,754.8,10.54,1,0,4,3,1,0,M2900 貿易百貨,M29B 貿易業
128,3036,文曄,2023/04,157464.5,10.49,0,1,3,0,2,1,M2329 電子通路業,M23T2 零組件代理
129,6679,鈺太,2023/04,339.5,10.49,0,1,1,0,4,3,M2324 半導體,M23G5 IC設計
130,5015,華祺,2023/04,586.5,10.25,0,1,3,0,2,1,M2000 鋼鐵工業,M20A1 線材
131,6579,研揚,2023/04,2255.5,10.2,1,0,3,2,2,0,M2325 電腦及週邊,M23B5B 工業電腦
132,3570,大塚,2023/04,417.3,10.13,0,1,2,0,3,2,M2330 資訊服務業,M23X9 應用軟體
133,2385,群光,2023/04,27602.3,10.11,0,1,2,0,3,1,M2328 電子零組件,M23C3 PC週邊
134,3035,智原,2023/04,3249.9,10.09,0,1,2,0,3,3,M2324 半導體,M23G5 IC設計
135,2752,豆府,2023/04,696.9,10.07,0,1,2,0,3,1,M2700 觀光事業,M27A2 餐飲業
136,4919,新唐,2023/04,9569.2,10.03,0,1,3,0,2,2,M2324 半導體,M23G5 IC設計
137,8069,元太,2023/04,8543.3,10.02,1,0,4,3,1,0,M2326 光電業,M23C8A LCD 面板
138,8050,廣積,2023/04,1948.5,9.97,1,0,4,1,1,0,M2325 電腦及週邊,M23B5B 工業電腦
139,8109,博大,2023/04,505.9,9.92,1,0,3,3,2,0,M2328 電子零組件,M23D3 電源供應器
140,6485,點序,2023/04,431.3,9.83,0,1,1,0,4,4,M2324 半導體,M23G5 IC設計
141,6715,嘉基,2023/04,859.1,9.81,0,1,3,0,2,1,M2328 電子零組件,M23D2 連接器
142,2368,金像電,2023/04,8500.7,9.76,0,1,3,0,2,1,M2328 電子零組件,M23B2D 硬板及其他
143,3587,閎康,2023/04,1138.5,9.74,1,0,2,1,3,0,M2331 其他電子業,M23Z 其他電子
144,3675,德微,2023/04,516.2,9.64,0,1,2,0,3,2,M2324 半導體,M23D1 整流二極體
145,6556,勝品,2023/04,575.7,9.64,1,0,4,2,1,0,M2326 光電業,M23C9 安全監控
146,3526,凡甲,2023/04,523.6,9.62,0,1,1,0,4,1,M2328 電子零組件,M23D2 連接器
147,2912,統一超,2023/04,75597.3,9.53,0,1,3,0,2,1,M2900 貿易百貨,M29A4 便利商店
148,3042,晶技,2023/04,3007.4,9.49,0,1,2,0,3,1,M2328 電子零組件,M23D6 石英元件
149,8261,富鼎,2023/04,706.2,9.4,0,1,3,0,2,2,M2324 半導體,M23G5 IC設計
150,2227,裕日車,2023/04,6574.2,9.3,1,0,2,2,3,0,M2200 汽車工業,M22X 汽車買賣
151,6245,立端,2023/04,3136.2,9.27,1,0,4,3,1,0,M2327 通信網路業,M23B5B 工業電腦
152,6640,均華,2023/05,321.8,9.24,1,0,3,1,2,0,M2324 半導體,M23H2 電機設備
153,3022,威強電,2023/05,2225.2,9.21,0,1,2,0,3,1,M2325 電腦及週邊,M23B5B 工業電腦
154,8210,勤誠,2023/05,2657.5,9.19,0,1,2,0,3,1,M2325 電腦及週邊,M23D4 機殼
155,6294,智基,2023/05,237.8,9.17,0,1,3,0,2,2,M3200 文化創意業,M99ZX 其他服務業
156,4755,三福化,2023/05,1201.1,9.12,0,1,2,0,3,3,M1721 化學工業,M17Z 其他化學
157,5347,世界,2023/05,9573.4,9.08,0,1,3,0,2,2,M2324 半導體,M23G1A 晶圓代工
158,1560,中砂,2023/05,1589.3,9.02,0,1,3,0,2,2,M1500 電機機械,M15A2 模具零件
159,3454,晶睿,2023/05,3396.3,8.99,1,0,4,4,1,0,M2326 光電業,M23C9 安全監控
160,6285,啟碁,2023/05,29094.8,8.99,1,0,3,3,2,0,M2327 通信網路業,M23K2 衛星微波
161,3596,智易,2023/05,13196.2,8.98,1,0,3,2,2,0,M2327 通信網路業,M23E1 數據機
162,6192,巨路,2023/05,1670.6,8.89,1,0,3,3,2,0,M2331 其他電子業,M23T2 零組件代理
163,3548,兆利,2023/05,1700.5,8.88,1,0,3,2,2,0,M2328 電子零組件,M23D9A 沖壓零組件
164,5258,虹堡,2023/05,2398.8,8.85,1,0,4,3,1,0,M2325 電腦及週邊,M23B5A POS
165,3376,新日興,2023/05,2459.2,8.78,0,1,3,0,2,1,M2328 電子零組件,M23D9A 沖壓零組件
166,6147,頎邦,2023/05,5383.1,8.66,1,0,3,1,2,0,M2324 半導體,M23G2 IC封測
167,8941,關中,2023/05,648.5,8.66,0,1,3,0,2,1,M2900 貿易百貨,M99B 五金及家具
168,5209,新鼎,2023/05,1239.7,8.65,1,0,3,1,2,0,M2330 資訊服務業,M23X1 系統整合
169,4974,亞泰,2023/05,1157.1,8.64,1,0,4,4,1,0,M2328 電子零組件,M23C2 影像掃描
170,4580,捷流閥業,2023/05,547,8.58,0,1,1,0,4,2,M1500 電機機械,M15Z 其他電製品
171,6525,捷敏-KY,2023/05,1204.4,8.52,1,0,3,1,2,0,M2324 半導體,M23G2 IC封測
172,1315,達新,2023/05,611,8.48,1,0,3,3,2,0,M1300 塑膠工業,M13A8 塑膠加工
173,6220,岳豐,2023/05,2393.2,8.33,0,1,1,0,4,1,M2328 電子零組件,M23D2 連接器
174,3030,德律,2023/05,1409.8,8.21,0,1,2,0,3,2,M2331 其他電子業,M23H2 電機設備
175,3090,日電貿,2023/05,2396.9,8.21,0,1,1,0,4,3,M2328 電子零組件,M23T2 零組件代理
176,6716,應廣,2023/05,141.5,8.15,0,1,2,0,3,1,M2324 半導體,M23G5 IC設計
177,6180,橘子,2023/05,2176.1,8.15,0,1,2,0,3,1,M3200 文化創意業,M23X2 遊戲軟體
178,2066,世德,2023/05,725.5,8.03,0,1,3,0,2,1,M1500 電機機械,M15D 汽車組件
179,1580,新麥,2023/05,1030.5,8.02,1,0,2,1,3,0,M1500 電機機械,M15Z 其他電製品
180,2472,立隆電,2023/05,2392.6,8.02,1,0,3,1,2,0,M2328 電子零組件,M23D5 被動元件
181,3317,尼克森,2023/05,557.8,8.01,1,0,3,1,2,0,M2324 半導體,M23G5 IC設計
182,2387,精元,2023/05,6409.6,8,1,0,3,2,2,0,M2325 電腦及週邊,M23C3 PC週邊
183,1773,勝一,2023/06,2539.4,7.99,0,1,1,0,4,1,M1721 化學工業,M17Z 其他化學
184,4953,緯軟,2023/06,2092.1,7.92,1,0,3,2,2,0,M2330 資訊服務業,M23X1 系統整合
185,3479,安勤,2023/06,2320.7,7.83,0,1,4,0,1,1,M2325 電腦及週邊,M23B5B 工業電腦
186,2707,晶華,2023/06,1663.7,7.81,1,0,4,2,1,0,M2700 觀光事業,M27A1 飯店業
187,2458,義隆,2023/06,1964.1,7.81,0,1,1,0,4,2,M2324 半導體,M23G5 IC設計
188,3014,聯陽,2023/06,1145.6,7.8,1,0,1,1,4,0,M2324 半導體,M23G5 IC設計
189,3264,欣銓,2023/06,3830.4,7.77,0,1,3,0,2,1,M2324 半導體,M23G2 IC封測
190,6231,系微,2023/06,348.4,7.74,0,1,2,0,3,1,M2330 資訊服務業,M23X9 應用軟體
191,6206,飛捷,2023/06,973.5,7.73,0,1,2,0,3,2,M2325 電腦及週邊,M23B5A POS
192,6591,動力-KY,2023/06,396.3,7.69,1,0,3,1,2,0,M2325 電腦及週邊,M23D9B 散熱零組件
193,6227,茂綸,2023/06,3745,7.61,0,1,2,0,3,1,M2329 電子通路業,M23T2 零組件代理
194,5388,中磊,2023/06,18385.7,7.58,1,0,4,4,1,0,M2327 通信網路業,M23E2 網路卡
195,1539,巨庭,2023/06,292.3,7.55,1,0,4,3,1,0,M1500 電機機械,M15A1 工具機
196,4935,茂林-KY,2023/06,2258,7.5,0,1,2,0,3,1,M2326 光電業,M23C8C LCD 原料
197,1419,新紡,2023/06,954,7.49,1,0,4,3,1,0,M1400 紡織纖維,M14C2 織布
198,3552,同致,2023/06,2509.2,7.49,0,1,2,0,3,1,M2331 其他電子業,M15D 汽車組件
199,6690,安碁資訊,2023/06,451,7.47,1,0,4,1,1,0,M2330 資訊服務業,M23X1 系統整合
200,6470,宇智,2023/06,659.3,7.45,1,0,4,3,1,0,M2327 通信網路業,M23E1 數據機
201,3583,辛耘,2023/06,1572.1,7.39,1,0,4,3,1,0,M2324 半導體,M23H2 電機設備
202,4912,聯德控股-KY,2023/06,1163.6,7.38,1,0,3,1,2,0,M2328 電子零組件,M23D9A 沖壓零組件
203,1301,台塑,2023/06,51066.1,7.37,0,1,1,0,4,4,M1300 塑膠工業,M13A1 泛用塑膠
204,4549,桓達,2023/06,347.6,7.36,0,1,2,0,3,1,M1500 電機機械,M15H 儀器設備
205,5474,聰泰,2023/06,293.4,7.36,1,0,2,1,3,0,M2325 電腦及週邊,M23B4B 電視卡
206,6257,矽格,2023/06,4136.6,7.36,0,1,2,0,3,2,M2324 半導體,M23G2 IC封測
207,2303,聯電,2023/06,67835.7,7.32,0,1,4,0,1,1,M2324 半導體,M23G1A 晶圓代工
208,3217,優群,2023/06,621.5,7.28,1,0,1,1,4,0,M2328 電子零組件,M23D2 連接器
209,4721,美琪瑪,2023/06,1001.8,7.26,0,1,1,0,4,2,M1721 化學工業,M17Z 其他化學
210,3374,精材,2023/06,1799.4,7.23,0,1,2,0,3,1,M2324 半導體,M23G2 IC封測
211,5371,中光電,2023/06,11171.2,7.22,1,0,3,2,2,0,M2326 光電業,M23C8B 背光模組
