,歆凱分組,代號,名稱,交易所主產業代碼,交易所子產業代碼,TEJ主產業代碼,TEJ子產業代碼,new_industry_name,minor_industry_name
622,,2520.0,冠德,M2500,,25A,,M2500 建材營造,M25A 建設
623,,2524.0,京城,M2500,,25A,,M2500 建材營造,M25A 建設
624,,2527.0,宏璟,M2500,,25A,,M2500 建材營造,M25A 建設
625,,2528.0,皇普,M2500,,25A,,M2500 建材營造,M25A 建設
626,,2530.0,華建,M2500,,25A,,M2500 建材營造,M25A 建設
627,,2534.0,宏盛,M2500,,25A,,M2500 建材營造,M25A 建設
628,,2535.0,達欣工,M2500,,25B,,M2500 建材營造,M25B 營造
629,,2536.0,宏普,M2500,,25A,,M2500 建材營造,M25A 建設
630,,2537.0,聯上發,M2500,,25A,,M2500 建材營造,M25A 建設
631,,2538.0,基泰,M2500,,25A,,M2500 建材營造,M25A 建設
632,,2539.0,櫻花建,M2500,,25A,,M2500 建材營造,M25A 建設
633,,2540.0,愛山林,M2500,,25A,,M2500 建材營造,M25A 建設
634,,2542.0,興富發,M2500,,25A,,M2500 建材營造,M25A 建設
635,,2543.0,皇昌,M2500,,25B,,M2500 建材營造,M25B 營造
636,,2545.0,皇翔,M2500,,25A,,M2500 建材營造,M25A 建設
637,,2546.0,根基,M2500,,25B,,M2500 建材營造,M25B 營造
638,,2547.0,日勝生,M2500,,25A,,M2500 建材營造,M25A 建設
639,,2548.0,華固,M2500,,25A,,M2500 建材營造,M25A 建設
640,,2596.0,綠意,M2500,,25A,,M2500 建材營造,M25A 建設
641,,2601.0,益航,M2900,,26A,,M2900 貿易百貨,M26A1 散裝輪
642,,2605.0,新興,M2600,,26A,,M2600 航運業,M26A1 散裝輪
643,,2606.0,裕民,M2600,,26A,,M2600 航運業,M26A1 散裝輪
644,,2607.0,榮運,M2600,,26C,,M2600 航運業,M26C 貨運倉儲業
645,,2611.0,志信,M2600,,26C,,M2600 航運業,M26C 貨運倉儲業
646,,2612.0,中航,M2600,,26A,,M2600 航運業,M26A1 散裝輪
647,,2613.0,中櫃,M2600,,26C,,M2600 航運業,M26C 貨運倉儲業
648,,2614.0,東森,M9900,,26E,,M9900 其他,M26E 其他運儲業
649,,2616.0,山隆,M9700,,99D,,M9700 油電燃氣業,M99D1 加油站
650,,2617.0,台航,M2600,,26A,,M2600 航運業,M26A1 散裝輪
651,,2630.0,亞航,M2600,,22B,,M2600 航運業,M22B3 航空器製造
