,st_code,st_name,rev_period,rev,new_industry_name,minor_industry_name,Year,month,mom,yoy,yoy年成長大於10,yoy成長,yoy衰退,yoy近五月大於10,yoy連續大於10,yoy近五月成長,yoy連續成長,yoy近五月衰退,yoy連續衰退
133,3211,順達,* 2023/02,1046354,M2325 電腦及週邊,M23D7 二次電池,2023,2,-13.09%,-25.08%,0,0,1,0,0,2,0,3,2
45,2327,國巨,* 2023/02,6925189,M2328 電子零組件,M23D5 被動元件,2023,2,-17.46%,-25.11%,0,0,1,0,0,1,0,4,4
119,3017,奇鋐,* 2023/02,3017591,M2325 電腦及週邊,M23D9B 散熱零組件,2023,2,7.36%,-25.46%,0,1,0,0,0,2,1,3,0
28,1909,榮成,* 2023/02,2569319,M1900 造紙工業,M19A 造紙,2023,2,-11.12%,-25.99%,0,1,0,0,0,3,1,2,0
161,4938,和碩,* 2023/02,62870366,M2325 電腦及週邊,M23A1 EMS,2023,2,-49.55%,-26.14%,0,0,1,0,0,3,0,2,1
182,6213,聯茂,* 2023/02,1778217,M2328 電子零組件,M23B3A 銅箔基板,2023,2,-9.11%,-26.39%,0,1,0,0,0,3,1,2,0
77,2441,超豐,* 2023/02,994720,M2324 半導體,M23G2 IC封測,2023,2,18.85%,-26.58%,0,1,0,0,0,3,1,2,0
95,2609,陽明,* 2023/02,24395707,M2600 航運業,M26A2 貨櫃輪,2023,2,-14.61%,-26.63%,0,0,1,0,0,1,0,4,1
176,6121,新普,* 2023/02,5306863,M2325 電腦及週邊,M23D7 二次電池,2023,2,-12.05%,-26.63%,0,0,1,0,0,1,0,4,4
139,3324,雙鴻,* 2023/02,703783,M2331 其他電子業,M23D9B 散熱零組件,2023,2,-23.81%,-27.13%,0,1,0,0,0,2,1,3,0
5,1301,台塑,* 2023/02,14982217,M1300 塑膠工業,M13A1 泛用塑膠,2023,2,3.98%,-27.24%,0,1,0,0,0,2,1,3,0
33,2049,上銀,* 2023/02,1768334,M1500 電機機械,M15A2 模具零件,2023,2,22.18%,-27.93%,0,1,0,0,0,2,1,3,0
52,2344,華邦電,* 2023/02,6191591,M2324 半導體,M23G1B 記憶體製造,2023,2,-5.35%,-28.06%,0,0,1,0,0,2,0,3,1
179,6173,信昌電,* 2023/02,281958,M2328 電子零組件,M23D5 被動元件,2023,2,-12.80%,-28.25%,0,0,1,0,0,3,0,2,1
153,3702,大聯大,* 2023/02,43692291,M2329 電子通路業,M23T2 零組件代理,2023,2,-0.84%,-28.52%,0,1,0,0,0,3,1,2,0
19,1605,華新,* 2023/02,9292270,M1600 電器電纜,M16 電線,2023,2,-38.72%,-28.68%,0,0,1,0,0,2,0,3,1
190,6282,康舒,* 2023/02,1207468,M2328 電子零組件,M23D3 電源供應器,2023,2,-32.79%,-29.59%,0,0,1,0,0,0,0,5,5
83,2481,強茂,* 2023/02,773456,M2324 半導體,M23D1 整流二極體,2023,2,-8.87%,-29.88%,0,1,0,0,0,2,1,3,0
111,2888,新光金,* 2023/02,7479612,M2800 金融業,M28L 金融控股,2023,2,-36.18%,-30.01%,0,1,0,0,0,3,3,2,0
204,8299,群聯,* 2023/02,3700514,M2324 半導體,M23G5 IC設計,2023,2,28.57%,-30.28%,0,1,0,0,0,3,1,2,0
50,2337,旺宏,* 2023/02,2518737,M2324 半導體,M23G1B 記憶體製造,2023,2,13.88%,-30.49%,0,1,0,0,0,2,1,3,0
